timestamp,buyer,seller,symbol,currency,price,quantity,mid_price,best_bid,best_ask,spread,imbalance_L1,microprice_L1,micro_edge_L1,future_ret_1,future_ret_2,future_ret_3,future_ret_5,future_ret_10,future_ret_20,future_ret_50,future_ret_100,future_ret_200,future_ret_500,future_ret_1000,trade_vs_mid,trade_vs_microprice,side_guess,signed_qty
8000,,,HYDROGEL_PACK,XIRECS,10018.0,6,10014.0,10010,10018,8,-0.3,10012.8,-1.2000000000007276,-2.0,-2.0,-4.0,-9.0,-9.0,-11.0,-1.0,-7.0,-21.0,-22.0,-68.0,4.0,5.200000000000728,buyer_initiated,6
10100,,,HYDROGEL_PACK,XIRECS,10014.0,5,10006.0,9998,10014,16,0.0,10006.0,0.0,2.0,2.0,1.0,-1.0,0.0,0.0,10.0,6.0,-15.0,-10.0,-66.0,8.0,8.0,buyer_initiated,5
15300,,,HYDROGEL_PACK,XIRECS,10026.0,3,10017.5,10009,10026,17,0.0,10017.5,0.0,-0.5,-2.5,-0.5,1.5,-2.5,-5.5,-7.5,-18.5,-43.5,-33.5,-71.5,8.5,8.5,buyer_initiated,3
15700,,,HYDROGEL_PACK,XIRECS,10009.0,2,10017.0,10009,10025,16,0.0,10017.0,0.0,2.0,1.0,-1.0,1.0,-1.0,-11.0,-7.0,-18.0,-47.0,-30.0,-74.0,-8.0,-8.0,seller_initiated,-2
16400,,,HYDROGEL_PACK,XIRECS,10009.0,4,10017.0,10009,10025,16,0.0,10017.0,0.0,5.0,1.0,-1.0,-3.0,-6.0,-4.0,-15.5,-20.0,-49.0,-28.0,-80.0,-8.0,-8.0,seller_initiated,-4
20300,,,HYDROGEL_PACK,XIRECS,10002.0,5,10010.0,10002,10018,16,0.0,10010.0,0.0,-2.0,-2.0,0.0,-1.0,-3.5,-9.0,-11.0,-14.0,-26.0,-41.0,-50.0,-8.0,-8.0,seller_initiated,-5
20500,,,HYDROGEL_PACK,XIRECS,10000.0,3,10008.0,10000,10016,16,0.0,10008.0,0.0,2.0,2.0,1.0,1.0,-3.0,-9.0,-9.0,-12.0,-26.0,-31.0,-45.0,-8.0,-8.0,seller_initiated,-3
23300,,,HYDROGEL_PACK,XIRECS,9997.0,2,9989.0,9981,9997,16,0.0,9989.0,0.0,4.0,6.0,7.0,5.0,12.0,10.0,0.0,-20.0,-12.0,1.0,-17.0,8.0,8.0,buyer_initiated,2
28500,,,HYDROGEL_PACK,XIRECS,9994.0,5,9986.0,9978,9994,16,0.0,9986.0,0.0,-3.0,-2.0,-3.0,-5.0,-3.0,10.0,-11.0,-7.0,-13.0,-10.0,-23.0,8.0,8.0,buyer_initiated,5
29100,,,HYDROGEL_PACK,XIRECS,9973.0,6,9981.0,9973,9989,16,0.0,9981.0,0.0,0.0,-1.0,0.0,0.0,10.0,10.0,-14.0,0.0,-2.0,-2.0,-26.0,-8.0,-8.0,seller_initiated,-6
45800,,,HYDROGEL_PACK,XIRECS,9978.0,2,9986.0,9978,9994,16,0.0,9986.0,0.0,1.0,0.0,-1.0,-2.0,-2.0,-17.0,5.0,-5.0,0.0,-35.0,-30.0,-8.0,-8.0,seller_initiated,-2
54600,,,HYDROGEL_PACK,XIRECS,9987.0,3,9979.0,9971,9987,16,0.0,9979.0,0.0,0.0,0.0,3.0,-2.0,0.0,3.0,16.0,15.0,11.0,-29.0,-7.0,8.0,8.0,buyer_initiated,3
55000,,,HYDROGEL_PACK,XIRECS,9987.0,6,9979.0,9971,9987,16,0.0,9979.0,0.0,-2.0,-1.0,-3.0,-1.0,3.0,4.0,17.0,7.0,6.0,-25.0,0.0,8.0,8.0,buyer_initiated,6
56700,,,HYDROGEL_PACK,XIRECS,9991.0,6,9983.0,9975,9991,16,0.0,9983.0,0.0,-2.0,0.0,0.0,2.0,6.0,9.0,6.0,6.0,-2.0,-32.0,-5.0,8.0,8.0,buyer_initiated,6
60000,,,HYDROGEL_PACK,XIRECS,9988.0,4,9996.0,9988,10004,16,0.0,9996.0,0.0,0.0,-2.0,-3.0,-5.0,4.0,-10.0,-10.0,-22.0,-20.0,-56.0,-22.0,-8.0,-8.0,seller_initiated,-4
63900,,,HYDROGEL_PACK,XIRECS,9986.0,5,9994.0,9986,10002,16,0.0,9994.0,0.0,-2.0,-2.0,-2.0,-4.0,-7.0,-6.0,-8.0,2.0,-41.5,-37.5,-21.0,-8.0,-8.0,seller_initiated,-5
67600,,,HYDROGEL_PACK,XIRECS,9993.0,5,9985.0,9977,9993,16,0.0,9985.0,0.0,-3.0,-1.0,0.0,-3.0,3.0,-1.0,-3.0,-3.0,-38.0,-33.0,-18.0,8.0,8.0,buyer_initiated,5
73000,,,HYDROGEL_PACK,XIRECS,9980.0,3,9988.0,9980,9996,16,0.0,9988.0,0.0,0.0,3.0,2.0,2.0,10.0,-3.0,-8.0,-32.0,-45.0,-17.0,-22.5,-8.0,-8.0,seller_initiated,-3
77800,,,HYDROGEL_PACK,XIRECS,9990.0,2,9982.0,9974,9990,16,0.0,9982.0,0.0,0.0,-2.0,-1.0,0.0,-1.0,-6.0,-24.0,-35.0,-27.0,-20.0,-14.5,8.0,8.0,buyer_initiated,2
90000,,,HYDROGEL_PACK,XIRECS,9950.0,6,9942.0,9934,9950,16,0.0,9942.0,0.0,2.5,4.0,6.0,7.0,5.0,9.0,0.0,13.5,-2.0,-1.0,8.0,8.0,8.0,buyer_initiated,6
93200,,,HYDROGEL_PACK,XIRECS,9948.0,6,9940.0,9932,9948,16,0.0,9940.0,0.0,1.0,1.0,0.0,0.5,1.0,4.0,5.5,9.0,7.0,19.0,29.0,8.0,8.0,buyer_initiated,6
94600,,,HYDROGEL_PACK,XIRECS,9931.0,3,9939.0,9931,9947,16,0.0,9939.0,0.0,0.0,2.0,2.5,3.0,9.0,12.0,10.0,11.0,10.0,19.0,28.0,-8.0,-8.0,seller_initiated,-3
94900,,,HYDROGEL_PACK,XIRECS,9934.0,4,9941.5,9934,9949,15,0.0,9941.5,0.0,0.5,0.5,2.5,6.5,6.5,6.5,12.5,10.5,3.5,14.5,24.5,-7.5,-7.5,seller_initiated,-4
96800,,,HYDROGEL_PACK,XIRECS,9940.0,2,9948.0,9940,9956,16,0.0,9948.0,0.0,0.0,2.0,4.0,4.0,7.0,4.0,9.0,3.0,-12.0,15.0,7.0,-8.0,-8.0,seller_initiated,-2
102200,,,HYDROGEL_PACK,XIRECS,9946.0,5,9954.0,9946,9962,16,0.0,9954.0,0.0,2.0,1.0,-4.0,-9.0,-5.0,-5.0,-7.0,-14.0,8.5,25.0,19.0,-8.0,-8.0,seller_initiated,-5
105100,,,HYDROGEL_PACK,XIRECS,9943.0,4,9951.0,9943,9959,16,0.0,9951.0,0.0,-2.0,2.0,2.0,-1.0,-0.5,-1.5,-11.0,-7.0,12.0,27.0,28.0,-8.0,-8.0,seller_initiated,-4
106100,,,HYDROGEL_PACK,XIRECS,9943.0,6,9950.5,9943,9958,15,0.0,9950.5,0.0,-3.5,-2.5,-3.5,-3.5,-1.0,-6.5,-7.5,-13.5,14.5,25.5,26.0,-7.5,-7.5,seller_initiated,-6
108800,,,HYDROGEL_PACK,XIRECS,9949.0,2,9941.5,9934,9949,15,0.0,9941.5,0.0,0.5,-1.5,-4.5,-8.5,-3.5,0.5,10.5,10.5,15.5,35.5,45.5,7.5,7.5,buyer_initiated,2
109500,,,HYDROGEL_PACK,XIRECS,9926.0,2,9934.0,9926,9942,16,0.0,9934.0,0.0,1.0,2.0,4.0,6.0,9.0,12.0,15.0,21.0,13.5,39.0,51.0,-8.0,-8.0,seller_initiated,-2
116300,,,HYDROGEL_PACK,XIRECS,9929.0,5,9937.0,9929,9945,16,0.0,9937.0,0.0,0.0,-3.0,-2.0,-1.0,8.0,18.0,18.0,29.0,12.0,31.0,49.0,-8.0,-8.0,seller_initiated,-5
125000,,,HYDROGEL_PACK,XIRECS,9972.0,4,9964.0,9956,9972,16,0.0,9964.0,0.0,-1.0,0.0,-4.0,-2.0,1.0,1.0,-11.0,-10.0,-10.0,6.0,37.0,8.0,8.0,buyer_initiated,4
128500,,,HYDROGEL_PACK,XIRECS,9955.0,5,9963.0,9955,9971,16,0.0,9963.0,0.0,-3.0,-5.0,-6.0,-13.5,-15.5,-11.0,1.0,-13.5,21.0,0.0,24.0,-8.0,-8.0,seller_initiated,-5
132000,,,HYDROGEL_PACK,XIRECS,9950.0,3,9958.0,9950,9966,16,0.0,9958.0,0.0,3.0,6.0,3.0,4.0,5.0,-5.0,-9.0,-6.0,25.5,13.0,29.0,-8.0,-8.0,seller_initiated,-3
132900,,,HYDROGEL_PACK,XIRECS,9956.0,2,9964.0,9956,9972,16,0.0,9964.0,0.0,-1.0,-4.0,-5.0,0.0,-4.5,-10.0,-7.0,-7.0,12.0,-1.0,19.0,-8.0,-8.0,seller_initiated,-2
133600,,,HYDROGEL_PACK,XIRECS,9970.0,5,9962.0,9954,9970,16,0.0,9962.0,0.0,0.0,0.5,-2.5,-6.0,-9.0,-16.0,-17.0,-5.0,10.0,3.0,23.0,8.0,8.0,buyer_initiated,5
136800,,,HYDROGEL_PACK,XIRECS,9955.0,5,9947.0,9939,9955,16,0.0,9947.0,0.0,3.0,2.0,3.5,2.5,10.0,-4.0,7.5,16.0,31.0,16.0,30.0,8.0,8.0,buyer_initiated,5
141700,,,HYDROGEL_PACK,XIRECS,9939.0,2,9947.0,9939,9955,16,0.0,9947.0,0.0,7.5,3.5,5.0,7.0,10.0,8.0,18.0,40.0,23.0,13.0,27.0,-8.0,-8.0,seller_initiated,-2
143600,,,HYDROGEL_PACK,XIRECS,9949.0,4,9957.0,9949,9965,16,0.0,9957.0,0.0,-2.0,-2.0,-2.0,0.0,1.0,2.0,26.0,15.0,13.0,16.0,20.0,-8.0,-8.0,seller_initiated,-4
144500,,,HYDROGEL_PACK,XIRECS,9966.0,3,9962.0,9958,9966,8,-0.2,9961.2,-0.7999999999992724,-4.0,-3.0,-2.0,-8.0,-3.0,-4.0,23.0,11.0,9.0,5.0,14.0,4.0,4.799999999999272,buyer_initiated,3
153400,,,HYDROGEL_PACK,XIRECS,9964.0,4,9972.0,9964,9980,16,0.0,9972.0,0.0,0.0,0.0,-2.0,1.0,-1.0,10.0,2.0,-1.0,-8.0,4.0,-21.0,-8.0,-8.0,seller_initiated,-4
155200,,,HYDROGEL_PACK,XIRECS,9991.0,5,9983.0,9975,9991,16,0.0,9983.0,0.0,0.0,-1.0,-3.0,-2.0,-7.0,-5.0,-11.0,-17.0,-13.0,-3.0,-17.5,8.0,8.0,buyer_initiated,5
158100,,,HYDROGEL_PACK,XIRECS,9974.0,5,9970.5,9967,9974,7,0.4,9971.9,1.3999999999996362,5.5,5.5,3.5,6.5,11.5,1.5,1.5,-4.5,-4.5,3.5,15.5,3.5,2.100000000000364,buyer_initiated,5
159300,,,HYDROGEL_PACK,XIRECS,9969.0,2,9977.0,9969,9985,16,0.0,9977.0,0.0,-4.0,-4.0,-3.0,-2.0,-5.0,-6.0,-10.0,-15.0,-3.0,9.0,7.0,-8.0,-8.0,seller_initiated,-2
163300,,,HYDROGEL_PACK,XIRECS,9977.0,3,9969.0,9961,9977,16,0.0,9969.0,0.0,2.0,0.0,1.0,4.0,-2.0,-3.0,-6.0,-3.0,-4.0,22.0,33.0,8.0,8.0,buyer_initiated,3
164600,,,HYDROGEL_PACK,XIRECS,9962.0,3,9970.0,9962,9978,16,0.0,9970.0,0.0,2.0,3.0,-0.5,0.0,-1.0,-2.0,-3.0,-2.0,-8.0,26.0,32.0,-8.0,-8.0,seller_initiated,-3
