event,count_all,count_usable,count_sampled,future_ret_1_mean,future_ret_1_hit_up,future_abs_ret_1_mean,future_ret_2_mean,future_ret_2_hit_up,future_abs_ret_2_mean,future_ret_3_mean,future_ret_3_hit_up,future_abs_ret_3_mean,future_ret_5_mean,future_ret_5_hit_up,future_abs_ret_5_mean,future_ret_10_mean,future_ret_10_hit_up,future_abs_ret_10_mean,future_ret_20_mean,future_ret_20_hit_up,future_abs_ret_20_mean,future_ret_50_mean,future_ret_50_hit_up,future_abs_ret_50_mean,future_ret_100_mean,future_ret_100_hit_up,future_abs_ret_100_mean,future_ret_200_mean,future_ret_200_hit_up,future_abs_ret_200_mean,future_ret_500_mean,future_ret_500_hit_up,future_abs_ret_500_mean,future_ret_1000_mean,future_ret_1000_hit_up,future_abs_ret_1000_mean
tight_spread_bottom_10pct,9835,9739,200,0.005185337303624602,0.414313584556936,1.6484752027928946,0.017558270869699147,0.43618441318410517,2.2382174761269122,0.023462367799568746,0.45271588458774004,2.712650169421912,0.047951535065201764,0.4618543998357121,3.4454256083786836,0.0758291405688469,0.4798233904918369,4.844799260704384,0.15093952151144882,0.4919396241913954,6.798849984598008,0.3861279392134716,0.5056987370366567,10.824879351062737,0.866820987654321,0.505761316872428,14.441203703703703,1.6477863230097693,0.5293078362086884,18.957077530658907,3.6353496353496353,0.5076147576147576,26.076469326469326,6.724065685164213,0.5360135900339751,34.48137032842582
wide_spread_top_10pct,9389,9294,200,0.0031202926619324296,0.41166343877770606,1.5658489347966429,0.0037658704540563803,0.4321067355282978,2.1663438777706046,0.010329244673983214,0.4495373359156445,2.653539918226813,0.01716160964062836,0.45954379169356574,3.3964385625134494,0.042554336130837096,0.47794275876909836,4.80508930492791,0.06977619969873036,0.48741123305358297,6.773455993113837,0.2524747148698085,0.5006455777921239,10.854260813428018,0.5748867802458486,0.49978434332542593,14.49142764718568,1.2022122929380994,0.5204882301656495,19.099117262423714,2.6978498255094,0.4961161769672408,25.99583474051559,5.2054623348804,0.5225514697131977,34.2743662977508
high_bid_imbalance_top_10pct,9836,9739,200,0.07090050313173837,0.42242530033884385,1.6127425813738576,0.07659924016839512,0.44265324982031007,2.209569771023719,0.08471095595030291,0.4584659615977,2.687031522743608,0.09631378991682925,0.4670910771126399,3.4245815792175787,0.1316870315227436,0.4841359482493069,4.830526748126091,0.18682616285039533,0.4933771434438854,6.771485778827395,0.40959030701304033,0.506006776876476,10.818667214293049,0.7731762527008952,0.5045786603560037,14.46254758720033,1.4535911027959671,0.5258289159131068,18.999168485604407,3.3052338052338053,0.502895752895753,26.15165165165165,6.161836295709272,0.5306237971244198,34.50883052190649
high_ask_imbalance_bottom_10pct,9849,9750,200,-0.05805128205128205,0.4073846153846154,1.610051282051282,-0.05348717948717949,0.42841025641025643,2.201179487179487,-0.046871794871794874,0.44574358974358974,2.68174358974359,-0.032205128205128206,0.4571282051282051,3.4175384615384616,0.0015384615384615385,0.4766153846153846,4.815282051282051,0.06338461538461539,0.48728205128205127,6.774666666666667,0.25435897435897437,0.5016410256410256,10.828410256410256,0.6425488180883865,0.5017471736896197,14.445015416238437,1.318951194184839,0.5229491173416407,19.039096573208724,3.1033319048639383,0.5008570816370259,26.079119348617954,6.079479932165065,0.5297908422837762,34.43866591294517
large_up_move,447,441,200,-0.8253968253968254,0.30612244897959184,1.8911564625850341,-0.5782312925170068,0.3832199546485261,2.5895691609977325,-0.5895691609977324,0.39909297052154197,2.8435374149659864,-0.5521541950113379,0.42857142857142855,3.6859410430839,-0.5113378684807256,0.48072562358276644,4.824263038548753,-0.5408163265306123,0.4580498866213152,6.695011337868481,-0.5589569160997733,0.49206349206349204,10.545351473922903,-0.5125,0.45454545454545453,13.907954545454546,-0.20114942528735633,0.49885057471264366,18.902298850574713,3.3921800947867298,0.514218009478673,26.904028436018958,6.1091370558375635,0.5329949238578681,34.535532994923855
large_down_move,450,446,200,0.8026905829596412,0.5179372197309418,2.0807174887892375,0.8789237668161435,0.5336322869955157,2.524663677130045,0.9349775784753364,0.5493273542600897,3.0291479820627805,0.7320627802690582,0.5112107623318386,3.5997757847533634,1.1356502242152466,0.5336322869955157,5.0325112107623315,1.7387892376681615,0.5358744394618834,6.904708520179372,1.9573991031390134,0.547085201793722,10.325112107623319,3.2269662921348314,0.5685393258426966,14.161797752808988,5.3480725623582765,0.6190476190476191,18.731292517006803,7.201405152224824,0.5597189695550351,25.625292740046838,11.976309226932669,0.5810473815461347,35.11596009975062
spread_tightened,723,715,200,-0.012587412587412588,0.4489510489510489,2.67972027972028,0.07412587412587412,0.46853146853146854,3.1020979020979023,0.025874125874125874,0.4755244755244755,3.4356643356643355,0.023776223776223775,0.4643356643356643,3.9846153846153847,0.33076923076923076,0.5132867132867133,5.248251748251748,0.6475524475524476,0.5216783216783217,6.906293706293706,0.5692307692307692,0.5202797202797202,10.658741258741259,0.5385694249649369,0.5133239831697055,14.018232819074333,0.5225352112676056,0.5253521126760563,18.943661971830984,3.918687589158345,0.5178316690442225,28.21968616262482,10.3853550295858,0.5473372781065089,35.87943786982248
spread_widened,723,715,200,0.1076923076923077,0.45874125874125876,1.6265734265734266,0.03776223776223776,0.44755244755244755,2.2097902097902096,0.06363636363636363,0.46853146853146854,2.702797202797203,0.045454545454545456,0.4853146853146853,3.411888111888112,0.36153846153846153,0.5300699300699301,4.827272727272727,0.6146853146853147,0.5188811188811189,6.298601398601399,0.7384615384615385,0.5160839160839161,10.234965034965034,0.6309523809523809,0.5056022408963585,13.745798319327731,0.6514084507042254,0.5084507042253521,18.448591549295774,3.767475035663338,0.5192582025677603,27.687589158345222,10.425925925925926,0.5437037037037037,36.14592592592592
bid_size_increased,4223,4178,200,0.08066060315940642,0.42388702728578265,1.6057922450933462,0.14109621828626137,0.45189085686931546,2.2047630445189084,0.14408808042125418,0.46864528482527523,2.688367640019148,0.15102920057443753,0.4734322642412638,3.4413595021541408,0.18896601244614647,0.48922929631402584,4.823001436093825,0.17053614169459072,0.49640976543800863,6.7916467209191005,0.4441120153183341,0.5031115366203925,10.759573958831977,0.9880067162389062,0.5046773806668265,14.39385943871432,1.7497578692493947,0.5273607748184019,18.900121065375302,3.391787319021468,0.5062406390414378,25.86657513729406,6.121999472434714,0.5302031126351886,34.34304932735426
ask_size_increased,4216,4171,200,-0.06197554543274994,0.40853512347158955,1.607168544713498,0.004914888515943419,0.43802445456725003,2.1947974106928796,0.009470151042915369,0.45600575401582355,2.681730999760249,0.013066410932630064,0.4634380244545673,3.439582833852793,0.048909134500119876,0.48141932390314074,4.817309997602494,0.0593382881802925,0.4917286022536562,6.769479741069288,0.3164708702948933,0.4991608726923999,10.736274274754255,0.9147044690052859,0.5028832292167227,14.376982220086497,1.6722464822901504,0.5249878699660359,18.883551673944687,3.3779389694847426,0.5052526263131566,25.837168584292147,5.965239228125826,0.5286809410520751,34.35672746497489
