condition,count,pct,future_ret_1_mean,future_ret_1_hit_up,future_abs_ret_1_mean,future_ret_2_mean,future_ret_2_hit_up,future_abs_ret_2_mean,future_ret_3_mean,future_ret_3_hit_up,future_abs_ret_3_mean,future_ret_5_mean,future_ret_5_hit_up,future_abs_ret_5_mean,future_ret_10_mean,future_ret_10_hit_up,future_abs_ret_10_mean,future_ret_20_mean,future_ret_20_hit_up,future_abs_ret_20_mean,future_ret_50_mean,future_ret_50_hit_up,future_abs_ret_50_mean,future_ret_100_mean,future_ret_100_hit_up,future_abs_ret_100_mean,future_ret_200_mean,future_ret_200_hit_up,future_abs_ret_200_mean,future_ret_500_mean,future_ret_500_hit_up,future_abs_ret_500_mean,future_ret_1000_mean,future_ret_1000_hit_up,future_abs_ret_1000_mean
mid_changed,8138,0.8138,-0.004362251167362988,0.40796264438436963,1.6944580978127304,-0.01321125722010569,0.4324689689074597,2.280754577854246,-0.01198377581120944,0.4470255653883973,2.710484267453294,-0.024772559626260144,0.4563560363904598,3.4310917137939514,-0.05092877352687907,0.4666010579407061,4.683847951777587,-0.08650412510774536,0.46878463243442925,6.486208595000615,-0.11023962450592885,0.4720849802371542,10.230175395256918,-0.2095173098399305,0.48814989452785706,14.350849981387269,-0.3274824473420261,0.4991223671013039,19.053410230692077,0.8326657190851531,0.5211267605633803,22.67256751518284,2.0976674396398853,0.5838221252216614,29.19451643704815
bid_changed,7939,0.7939,-0.013729688877692405,0.4067262879455851,1.683839274467817,-0.01946334089191232,0.4307130259511212,2.2779667422524565,-0.017701902482046113,0.44651631598840874,2.706627189114275,-0.026402016383112792,0.4563327032136106,3.42463768115942,-0.051513240857503154,0.46595208070617905,4.6771122320302645,-0.08823529411764706,0.46919969704620046,6.481317849028024,-0.12249936692833628,0.4729045327931122,10.225436819447962,-0.19988552531162554,0.487789366573391,14.319320783515645,-0.25311656599408816,0.49980722272201517,18.985156149595166,0.8690097961344982,0.5206513105639397,22.605440826052423,2.1083310036343303,0.5834498182834778,29.129717640480848
ask_changed,7970,0.797,0.013613550815558343,0.40915934755332495,1.6898996235884567,0.0065880286108671105,0.4340569707617016,2.2792696699711383,0.011420682730923695,0.44929718875502006,2.7078313253012047,0.00012553351744915893,0.45782073813708263,3.428822495606327,-0.025687727672402964,0.4681572666750408,4.677615877402336,-0.05702250722997611,0.4701370551992959,6.474349302150132,-0.09843612057005928,0.47219069239500566,10.21156514062303,-0.19576786619361378,0.48910288900152055,14.359604662949822,-0.26424273460504416,0.5007041351939573,19.02278837536807,0.8546940928270043,0.5212289029535865,22.697521097046412,2.1490739451329897,0.5844589889987467,29.125957387550482
spread_changed,1279,0.1279,0.053166536356528536,0.45582486317435494,2.290852228303362,0.053557466770914774,0.46677091477716964,2.7556684910086005,-0.04339327599687256,0.473807662236122,3.099687255668491,-0.18412822517591867,0.4503518373729476,3.693119624706802,-0.1763096168881939,0.4691164972634871,4.981626270523846,-0.191164972634871,0.472243940578577,6.936278342455043,0.06705882352941177,0.476078431372549,10.435686274509804,0.032754538279400155,0.4925019731649566,14.694948697711128,-0.8304070231444534,0.49880287310454907,20.351556264964085,0.29826732673267325,0.5214521452145214,23.847772277227723,1.8478639930252834,0.5972101133391456,30.25588491717524
size_changed_no_price_change,1570,0.157,0.010197578075207138,0.4040790312300829,1.5876354365838115,0.033779477374123644,0.4359464627151052,2.182919056724028,0.029318036966220522,0.4537922243467177,2.638623326959847,0.04525175270873168,0.4646271510516252,3.2332695984703634,0.0869980879541109,0.4665391969407266,4.513384321223709,0.0807275047862157,0.4696873005743459,6.259412890874282,-0.1299615877080666,0.4788732394366197,10.263124199743919,0.08413926499032882,0.4738878143133462,13.977756286266924,-0.3404947916666667,0.5065104166666666,18.880859375,-0.16576637407157327,0.5097906819716408,23.310938555030386,-0.13240542469664526,0.5531763026409707,29.16738044254104
bid_up,3959,0.3959,-0.1542056074766355,0.38923970699671634,1.7460217226572368,-0.18847902981303688,0.410055583628095,2.2885295603840325,-0.17950985346134413,0.4236988377968671,2.6817837291561393,-0.22403335860500379,0.4394743492544857,3.4378316906747535,-0.31837714863498484,0.45096056622851366,4.694009100101113,-0.35083502024291496,0.4633097165991903,6.532262145748988,-0.3624714539456991,0.46612534889621926,10.27442273534636,-0.6034658511722731,0.4813965341488277,14.463812436289501,-1.1282480061744276,0.48958065346025215,18.9587085155647,-0.2032865094089584,0.5049032600053008,22.676649880731514,1.2910030734842135,0.5783738474434199,28.925537859737357
bid_down,3980,0.398,0.12600502512562814,0.42412060301507537,1.6219849246231155,0.14861809045226132,0.45125628140703516,2.267462311557789,0.14325207338527268,0.46921337019351594,2.731339532545866,0.1701860231271996,0.47310206133735544,3.411513323278029,0.21414192249622546,0.4808756919979869,4.660291897332662,0.17317380352644837,0.4750629722921914,6.430604534005038,0.11650240080869345,0.4796563052817791,10.176648976497347,0.20226003047232097,0.4941594718131031,14.17534281361097,0.6204417051874679,0.5100154083204931,19.0115562403698,1.9390372917217666,0.5363660407299656,22.53438243850833,2.9265734265734267,0.5885314685314685,29.334125874125874
ask_up,3978,0.3978,-0.1348667672197084,0.38763197586727,1.645676219205631,-0.18883580588383203,0.40558209705808396,2.2084485793311543,-0.17902941916017098,0.4211717374905708,2.6233341714860448,-0.21919014084507044,0.4381287726358149,3.404049295774648,-0.31572327044025156,0.450062893081761,4.675974842767296,-0.31994459833795014,0.4638630067992949,6.499748174263409,-0.3294622570058066,0.4657914668013128,10.238323655642514,-0.5893762677484787,0.48377281947261663,14.462347870182557,-1.1175793244626406,0.49104401228249744,18.98068065506653,-0.2227931488801054,0.5038208168642951,22.71501976284585,1.227904391328516,0.5786548082267927,28.972206781545303
ask_down,3992,0.3992,0.16157314629258518,0.43061122244488975,1.7339679358717435,0.20127755511022044,0.4624248496993988,2.349824649298597,0.20120270608869958,0.47732397895264345,2.7920320721623653,0.218671679197995,0.4774436090225564,3.4535087719298247,0.26354741595584547,0.4862017059708981,4.679252383341696,0.2051732797589151,0.4763937719738825,6.449020592667002,0.13218245967741934,0.47857862903225806,10.184853830645162,0.19744174265450862,0.49442755825734547,14.256965552178318,0.5901870356136305,0.5103766333589547,19.064950038431974,1.9338875692794932,0.5386645552916337,22.679994721562416,3.074099916271281,0.5902874686017304,29.280351660619594
spread_tightened,639,0.0639,0.15492957746478872,0.49295774647887325,2.9593114241001564,0.282472613458529,0.5289514866979655,3.291862284820031,0.1729264475743349,0.5195618153364632,3.5,-0.024256651017214397,0.48200312989045385,4.047730829420971,0.035211267605633804,0.48826291079812206,5.254303599374022,0.011737089201877934,0.48826291079812206,7.016431924882629,0.3021978021978022,0.48194662480376765,10.592621664050235,0.18354430379746836,0.4873417721518987,14.700949367088608,-0.5896,0.4992,20.2504,0.5074503311258278,0.5331125827814569,23.987582781456954,2.0683012259194395,0.5989492119089317,30.183887915936953
spread_widened,640,0.064,-0.0484375,0.41875,1.6234375,-0.175,0.4046875,2.2203125,-0.259375,0.428125,2.7,-0.34375,0.41875,3.3390625,-0.3875,0.45,4.709375,-0.39375,0.45625,6.85625,-0.1677115987460815,0.4702194357366771,10.278996865203762,-0.1173228346456693,0.49763779527559054,14.688976377952756,-1.070063694267516,0.4984076433121019,20.452229299363058,0.09046052631578948,0.5098684210526315,23.70888157894737,1.6293402777777777,0.5954861111111112,30.327256944444443
bid_size_increased,4223,0.4223,0.04263382283278067,0.4090478446234012,1.6369019422074846,0.06738512553292278,0.4396020843202274,2.207839886309806,0.05613453339649455,0.4531027948839413,2.6636665087636193,0.026777251184834122,0.4601895734597156,3.311137440758294,0.009599431144821048,0.46622422374970374,4.616852334676464,-0.0717504743833017,0.4653700189753321,6.431570208728653,-0.10228353948620361,0.4747859181731684,10.190532825880114,-0.16849773107236685,0.4862670169572486,14.256627657033675,-0.31099324975891995,0.5019286403085824,19.03784956605593,0.18089076884797214,0.5123164966409555,22.770092062702165,1.324750394114556,0.571991592222806,29.221492380451917
ask_size_increased,4216,0.4216,-0.10581257413997627,0.38979833926453145,1.6201660735468564,-0.09027283511269277,0.4211150652431791,2.183985765124555,-0.09715302491103203,0.4370106761565836,2.6497034400948993,-0.11310230239734156,0.4478993591265132,3.315570852124377,-0.14304368471035137,0.4553656220322887,4.61170465337132,-0.2454264670943217,0.45877880731765264,6.446424328819197,-0.27454718779790277,0.4694947569113441,10.19184938036225,-0.3943274293920536,0.4810914313068454,14.264839636189564,-0.6418902586415277,0.49746192893401014,19.060792845056806,0.02056843679880329,0.5113438045375218,22.773747195213165,1.0762957116548277,0.5714285714285714,29.120757695343332
