event,rel_step,avg_mid_minus_event_mid
tight_spread_bottom_10pct,-20,-0.33
tight_spread_bottom_10pct,-19,-0.3975
tight_spread_bottom_10pct,-18,-0.4975
tight_spread_bottom_10pct,-17,-0.4175
tight_spread_bottom_10pct,-16,-0.2775
tight_spread_bottom_10pct,-15,-0.4325
tight_spread_bottom_10pct,-14,-0.38
tight_spread_bottom_10pct,-13,-0.3325
tight_spread_bottom_10pct,-12,-0.125
tight_spread_bottom_10pct,-11,-0.0625
tight_spread_bottom_10pct,-10,-0.0725
tight_spread_bottom_10pct,-9,0.0825
tight_spread_bottom_10pct,-8,-0.065
tight_spread_bottom_10pct,-7,0.0275
tight_spread_bottom_10pct,-6,0.2025
tight_spread_bottom_10pct,-5,0.0125
tight_spread_bottom_10pct,-4,0.0025
tight_spread_bottom_10pct,-3,0.19
tight_spread_bottom_10pct,-2,0.095
tight_spread_bottom_10pct,-1,-0.1375
tight_spread_bottom_10pct,0,0.0
tight_spread_bottom_10pct,1,0.0
tight_spread_bottom_10pct,2,-0.0825
tight_spread_bottom_10pct,3,-0.1575
tight_spread_bottom_10pct,4,-0.0225
tight_spread_bottom_10pct,5,-0.125
tight_spread_bottom_10pct,6,-0.0925
tight_spread_bottom_10pct,7,0.1425
tight_spread_bottom_10pct,8,-0.04
tight_spread_bottom_10pct,9,0.015
tight_spread_bottom_10pct,10,-0.2575
tight_spread_bottom_10pct,11,-0.2575
tight_spread_bottom_10pct,12,-0.515
tight_spread_bottom_10pct,13,-0.5
tight_spread_bottom_10pct,14,-0.3825
tight_spread_bottom_10pct,15,-0.62
tight_spread_bottom_10pct,16,-0.505
tight_spread_bottom_10pct,17,-0.6325
tight_spread_bottom_10pct,18,-0.66
tight_spread_bottom_10pct,19,-0.6925
tight_spread_bottom_10pct,20,-0.575
tight_spread_bottom_10pct,21,-0.1975
tight_spread_bottom_10pct,22,-0.3425
tight_spread_bottom_10pct,23,-0.0675
tight_spread_bottom_10pct,24,-0.07
tight_spread_bottom_10pct,25,-0.3175
tight_spread_bottom_10pct,26,-0.4825
tight_spread_bottom_10pct,27,-0.49
tight_spread_bottom_10pct,28,-0.48
tight_spread_bottom_10pct,29,-0.3475
tight_spread_bottom_10pct,30,-0.2825
tight_spread_bottom_10pct,31,-0.4175
tight_spread_bottom_10pct,32,-0.4875
tight_spread_bottom_10pct,33,-0.42
tight_spread_bottom_10pct,34,-0.3475
tight_spread_bottom_10pct,35,-0.0925
tight_spread_bottom_10pct,36,-0.2275
tight_spread_bottom_10pct,37,-0.125
tight_spread_bottom_10pct,38,-0.2175
tight_spread_bottom_10pct,39,-0.125
tight_spread_bottom_10pct,40,-0.03
tight_spread_bottom_10pct,41,-0.1625
tight_spread_bottom_10pct,42,0.0325
tight_spread_bottom_10pct,43,0.1375
tight_spread_bottom_10pct,44,-0.06
tight_spread_bottom_10pct,45,-0.195
tight_spread_bottom_10pct,46,0.2975
tight_spread_bottom_10pct,47,0.2125
tight_spread_bottom_10pct,48,0.1575
tight_spread_bottom_10pct,49,0.14
tight_spread_bottom_10pct,50,-0.015
tight_spread_bottom_10pct,51,0.03
tight_spread_bottom_10pct,52,-0.0275
tight_spread_bottom_10pct,53,0.0675
tight_spread_bottom_10pct,54,-0.0325
tight_spread_bottom_10pct,55,-0.0625
tight_spread_bottom_10pct,56,0.06
tight_spread_bottom_10pct,57,-0.0475
tight_spread_bottom_10pct,58,0.175
tight_spread_bottom_10pct,59,-0.1825
tight_spread_bottom_10pct,60,-0.38
tight_spread_bottom_10pct,61,-0.525
tight_spread_bottom_10pct,62,-0.5775
tight_spread_bottom_10pct,63,-0.3975
tight_spread_bottom_10pct,64,-0.67
tight_spread_bottom_10pct,65,-0.6625
tight_spread_bottom_10pct,66,-0.5925
tight_spread_bottom_10pct,67,-0.5725
tight_spread_bottom_10pct,68,-0.695
tight_spread_bottom_10pct,69,-0.625
tight_spread_bottom_10pct,70,-0.3575
tight_spread_bottom_10pct,71,-0.3525
tight_spread_bottom_10pct,72,-0.2375
tight_spread_bottom_10pct,73,-0.16
tight_spread_bottom_10pct,74,-0.1975
tight_spread_bottom_10pct,75,-0.3175
tight_spread_bottom_10pct,76,-0.2875
tight_spread_bottom_10pct,77,-0.6025
tight_spread_bottom_10pct,78,-0.44
tight_spread_bottom_10pct,79,-0.4075
tight_spread_bottom_10pct,80,-0.4825
wide_spread_top_10pct,-20,-0.1275
wide_spread_top_10pct,-19,-0.11
wide_spread_top_10pct,-18,0.0075
wide_spread_top_10pct,-17,0.0325
wide_spread_top_10pct,-16,0.135
wide_spread_top_10pct,-15,0.22
wide_spread_top_10pct,-14,0.0725
wide_spread_top_10pct,-13,-0.05
wide_spread_top_10pct,-12,-0.2
wide_spread_top_10pct,-11,0.12
wide_spread_top_10pct,-10,0.0125
wide_spread_top_10pct,-9,0.05
wide_spread_top_10pct,-8,0.23
wide_spread_top_10pct,-7,-0.055
wide_spread_top_10pct,-6,-0.2375
wide_spread_top_10pct,-5,-0.13
wide_spread_top_10pct,-4,-0.0875
wide_spread_top_10pct,-3,-0.0725
wide_spread_top_10pct,-2,-0.1175
wide_spread_top_10pct,-1,0.035
wide_spread_top_10pct,0,0.0
wide_spread_top_10pct,1,0.045
wide_spread_top_10pct,2,0.0975
wide_spread_top_10pct,3,-0.095
wide_spread_top_10pct,4,-0.1725
wide_spread_top_10pct,5,-0.3975
wide_spread_top_10pct,6,-0.35
wide_spread_top_10pct,7,-0.115
wide_spread_top_10pct,8,-0.125
wide_spread_top_10pct,9,-0.065
wide_spread_top_10pct,10,-0.45
wide_spread_top_10pct,11,-0.3925
wide_spread_top_10pct,12,-0.2225
wide_spread_top_10pct,13,-0.1825
wide_spread_top_10pct,14,0.055
wide_spread_top_10pct,15,0.0175
wide_spread_top_10pct,16,0.0125
wide_spread_top_10pct,17,0.0325
wide_spread_top_10pct,18,0.0925
wide_spread_top_10pct,19,-0.0325
wide_spread_top_10pct,20,-0.3075
wide_spread_top_10pct,21,-0.58
wide_spread_top_10pct,22,-0.5975
wide_spread_top_10pct,23,-0.45
wide_spread_top_10pct,24,-0.395
wide_spread_top_10pct,25,-0.6675
wide_spread_top_10pct,26,-0.4375
wide_spread_top_10pct,27,-0.355
wide_spread_top_10pct,28,-0.29
wide_spread_top_10pct,29,-0.2075
wide_spread_top_10pct,30,-0.02
wide_spread_top_10pct,31,-0.045
wide_spread_top_10pct,32,0.05
wide_spread_top_10pct,33,0.18
wide_spread_top_10pct,34,0.2075
wide_spread_top_10pct,35,0.1425
wide_spread_top_10pct,36,0.1975
wide_spread_top_10pct,37,-0.03
wide_spread_top_10pct,38,-0.0675
wide_spread_top_10pct,39,-0.045
wide_spread_top_10pct,40,0.0275
wide_spread_top_10pct,41,-0.11
wide_spread_top_10pct,42,-0.275
wide_spread_top_10pct,43,0.085
wide_spread_top_10pct,44,-0.055
wide_spread_top_10pct,45,0.0575
wide_spread_top_10pct,46,-0.1975
wide_spread_top_10pct,47,0.0
wide_spread_top_10pct,48,-0.1
wide_spread_top_10pct,49,-0.0825
wide_spread_top_10pct,50,-0.17
wide_spread_top_10pct,51,-0.1775
wide_spread_top_10pct,52,-0.4625
wide_spread_top_10pct,53,-0.44
wide_spread_top_10pct,54,-0.215
wide_spread_top_10pct,55,-0.3375
wide_spread_top_10pct,56,-0.29
wide_spread_top_10pct,57,-0.3375
wide_spread_top_10pct,58,-0.57
wide_spread_top_10pct,59,-0.595
wide_spread_top_10pct,60,-0.2425
wide_spread_top_10pct,61,-0.39
wide_spread_top_10pct,62,-0.4025
wide_spread_top_10pct,63,-0.135
wide_spread_top_10pct,64,-0.0075
wide_spread_top_10pct,65,-0.025
wide_spread_top_10pct,66,-0.1275
wide_spread_top_10pct,67,-0.075
wide_spread_top_10pct,68,-0.095
wide_spread_top_10pct,69,-0.1825
wide_spread_top_10pct,70,-0.335
wide_spread_top_10pct,71,-0.675
wide_spread_top_10pct,72,-0.715
wide_spread_top_10pct,73,-0.4225
wide_spread_top_10pct,74,-0.6225
wide_spread_top_10pct,75,-0.4925
wide_spread_top_10pct,76,-0.5325
wide_spread_top_10pct,77,-0.405
wide_spread_top_10pct,78,-0.4625
wide_spread_top_10pct,79,-0.3575
wide_spread_top_10pct,80,-0.32
high_bid_imbalance_top_10pct,-20,-0.01
high_bid_imbalance_top_10pct,-19,0.105
high_bid_imbalance_top_10pct,-18,-0.0175
high_bid_imbalance_top_10pct,-17,0.035
high_bid_imbalance_top_10pct,-16,0.165
high_bid_imbalance_top_10pct,-15,0.28
high_bid_imbalance_top_10pct,-14,0.395
high_bid_imbalance_top_10pct,-13,0.4425
high_bid_imbalance_top_10pct,-12,0.2325
high_bid_imbalance_top_10pct,-11,0.2625
high_bid_imbalance_top_10pct,-10,0.095
high_bid_imbalance_top_10pct,-9,0.15
high_bid_imbalance_top_10pct,-8,0.1
high_bid_imbalance_top_10pct,-7,0.0925
high_bid_imbalance_top_10pct,-6,0.31
high_bid_imbalance_top_10pct,-5,0.2575
high_bid_imbalance_top_10pct,-4,0.37
high_bid_imbalance_top_10pct,-3,0.1575
high_bid_imbalance_top_10pct,-2,0.145
high_bid_imbalance_top_10pct,-1,0.295
high_bid_imbalance_top_10pct,0,0.0
high_bid_imbalance_top_10pct,1,0.0725
high_bid_imbalance_top_10pct,2,0.045
high_bid_imbalance_top_10pct,3,0.5275
high_bid_imbalance_top_10pct,4,0.29
high_bid_imbalance_top_10pct,5,0.5375
high_bid_imbalance_top_10pct,6,0.49
high_bid_imbalance_top_10pct,7,0.7
high_bid_imbalance_top_10pct,8,0.4425
high_bid_imbalance_top_10pct,9,0.435
high_bid_imbalance_top_10pct,10,0.18
high_bid_imbalance_top_10pct,11,-0.08
high_bid_imbalance_top_10pct,12,-0.01
high_bid_imbalance_top_10pct,13,0.0125
high_bid_imbalance_top_10pct,14,-0.055
high_bid_imbalance_top_10pct,15,0.005
high_bid_imbalance_top_10pct,16,0.03
high_bid_imbalance_top_10pct,17,0.13
high_bid_imbalance_top_10pct,18,0.1175
high_bid_imbalance_top_10pct,19,0.1625
high_bid_imbalance_top_10pct,20,0.2675
high_bid_imbalance_top_10pct,21,0.345
high_bid_imbalance_top_10pct,22,0.2575
high_bid_imbalance_top_10pct,23,0.32
high_bid_imbalance_top_10pct,24,0.275
high_bid_imbalance_top_10pct,25,0.245
high_bid_imbalance_top_10pct,26,0.1225
high_bid_imbalance_top_10pct,27,0.19
high_bid_imbalance_top_10pct,28,0.0075
high_bid_imbalance_top_10pct,29,0.2275
high_bid_imbalance_top_10pct,30,0.185
high_bid_imbalance_top_10pct,31,0.09
high_bid_imbalance_top_10pct,32,-0.085
high_bid_imbalance_top_10pct,33,0.015
high_bid_imbalance_top_10pct,34,0.1
high_bid_imbalance_top_10pct,35,0.465
high_bid_imbalance_top_10pct,36,0.3725
high_bid_imbalance_top_10pct,37,0.4
high_bid_imbalance_top_10pct,38,0.5525
high_bid_imbalance_top_10pct,39,0.2425
high_bid_imbalance_top_10pct,40,-0.01
high_bid_imbalance_top_10pct,41,0.1775
high_bid_imbalance_top_10pct,42,0.0325
high_bid_imbalance_top_10pct,43,0.295
