event,rel_step,avg_mid_minus_event_mid
tight_spread_bottom_10pct,-20,0.7175
tight_spread_bottom_10pct,-19,0.595
tight_spread_bottom_10pct,-18,0.8275
tight_spread_bottom_10pct,-17,0.725
tight_spread_bottom_10pct,-16,0.5825
tight_spread_bottom_10pct,-15,0.625
tight_spread_bottom_10pct,-14,0.1725
tight_spread_bottom_10pct,-13,0.205
tight_spread_bottom_10pct,-12,0.3225
tight_spread_bottom_10pct,-11,0.2525
tight_spread_bottom_10pct,-10,0.2625
tight_spread_bottom_10pct,-9,0.1325
tight_spread_bottom_10pct,-8,0.0075
tight_spread_bottom_10pct,-7,0.355
tight_spread_bottom_10pct,-6,0.33
tight_spread_bottom_10pct,-5,0.2125
tight_spread_bottom_10pct,-4,0.0
tight_spread_bottom_10pct,-3,-0.0975
tight_spread_bottom_10pct,-2,0.015
tight_spread_bottom_10pct,-1,-0.095
tight_spread_bottom_10pct,0,0.0
tight_spread_bottom_10pct,1,0.0925
tight_spread_bottom_10pct,2,0.2325
tight_spread_bottom_10pct,3,0.26
tight_spread_bottom_10pct,4,0.305
tight_spread_bottom_10pct,5,0.11
tight_spread_bottom_10pct,6,0.1575
tight_spread_bottom_10pct,7,0.325
tight_spread_bottom_10pct,8,0.3875
tight_spread_bottom_10pct,9,0.13
tight_spread_bottom_10pct,10,0.1175
tight_spread_bottom_10pct,11,0.0425
tight_spread_bottom_10pct,12,0.0825
tight_spread_bottom_10pct,13,0.1125
tight_spread_bottom_10pct,14,0.3625
tight_spread_bottom_10pct,15,0.4025
tight_spread_bottom_10pct,16,0.435
tight_spread_bottom_10pct,17,0.505
tight_spread_bottom_10pct,18,0.58
tight_spread_bottom_10pct,19,0.605
tight_spread_bottom_10pct,20,0.4925
tight_spread_bottom_10pct,21,0.2875
tight_spread_bottom_10pct,22,0.0675
tight_spread_bottom_10pct,23,0.245
tight_spread_bottom_10pct,24,0.22
tight_spread_bottom_10pct,25,0.2525
tight_spread_bottom_10pct,26,0.25
tight_spread_bottom_10pct,27,0.49
tight_spread_bottom_10pct,28,0.47
tight_spread_bottom_10pct,29,0.6
tight_spread_bottom_10pct,30,0.6925
tight_spread_bottom_10pct,31,0.675
tight_spread_bottom_10pct,32,0.615
tight_spread_bottom_10pct,33,0.5575
tight_spread_bottom_10pct,34,0.5525
tight_spread_bottom_10pct,35,0.3425
tight_spread_bottom_10pct,36,0.1125
tight_spread_bottom_10pct,37,0.0025
tight_spread_bottom_10pct,38,0.1225
tight_spread_bottom_10pct,39,0.215
tight_spread_bottom_10pct,40,0.155
tight_spread_bottom_10pct,41,0.15
tight_spread_bottom_10pct,42,0.1175
tight_spread_bottom_10pct,43,0.395
tight_spread_bottom_10pct,44,0.27
tight_spread_bottom_10pct,45,0.1025
tight_spread_bottom_10pct,46,-0.1025
tight_spread_bottom_10pct,47,0.03
tight_spread_bottom_10pct,48,-0.1575
tight_spread_bottom_10pct,49,-0.1625
tight_spread_bottom_10pct,50,-0.025
tight_spread_bottom_10pct,51,0.1325
tight_spread_bottom_10pct,52,0.1975
tight_spread_bottom_10pct,53,0.2275
tight_spread_bottom_10pct,54,0.205
tight_spread_bottom_10pct,55,0.105
tight_spread_bottom_10pct,56,0.1875
tight_spread_bottom_10pct,57,0.25
tight_spread_bottom_10pct,58,0.19
tight_spread_bottom_10pct,59,0.0475
tight_spread_bottom_10pct,60,0.0225
tight_spread_bottom_10pct,61,0.0075
tight_spread_bottom_10pct,62,0.12
tight_spread_bottom_10pct,63,0.085
tight_spread_bottom_10pct,64,0.0525
tight_spread_bottom_10pct,65,0.335
tight_spread_bottom_10pct,66,0.4125
tight_spread_bottom_10pct,67,0.4175
tight_spread_bottom_10pct,68,0.485
tight_spread_bottom_10pct,69,0.3825
tight_spread_bottom_10pct,70,0.265
tight_spread_bottom_10pct,71,0.325
tight_spread_bottom_10pct,72,0.0275
tight_spread_bottom_10pct,73,0.0625
tight_spread_bottom_10pct,74,0.0725
tight_spread_bottom_10pct,75,0.2725
tight_spread_bottom_10pct,76,0.2325
tight_spread_bottom_10pct,77,0.3675
tight_spread_bottom_10pct,78,0.475
tight_spread_bottom_10pct,79,0.62
tight_spread_bottom_10pct,80,0.53
wide_spread_top_10pct,-20,0.2325
wide_spread_top_10pct,-19,0.2825
wide_spread_top_10pct,-18,0.1125
wide_spread_top_10pct,-17,0.3075
wide_spread_top_10pct,-16,0.2
wide_spread_top_10pct,-15,0.18
wide_spread_top_10pct,-14,0.16
wide_spread_top_10pct,-13,0.315
wide_spread_top_10pct,-12,0.2675
wide_spread_top_10pct,-11,0.12
wide_spread_top_10pct,-10,0.105
wide_spread_top_10pct,-9,0.0925
wide_spread_top_10pct,-8,0.2725
wide_spread_top_10pct,-7,0.1275
wide_spread_top_10pct,-6,0.14
wide_spread_top_10pct,-5,0.2225
wide_spread_top_10pct,-4,0.1
wide_spread_top_10pct,-3,-0.31
wide_spread_top_10pct,-2,-0.0425
wide_spread_top_10pct,-1,-0.1375
wide_spread_top_10pct,0,0.0
wide_spread_top_10pct,1,-0.3825
wide_spread_top_10pct,2,-0.535
wide_spread_top_10pct,3,-0.78
wide_spread_top_10pct,4,-0.5975
wide_spread_top_10pct,5,-0.7075
wide_spread_top_10pct,6,-0.815
wide_spread_top_10pct,7,-0.7075
wide_spread_top_10pct,8,-0.6675
wide_spread_top_10pct,9,-0.8825
wide_spread_top_10pct,10,-1.025
wide_spread_top_10pct,11,-1.1
