timestamp,trade_count,total_qty,signed_qty,avg_trade_price,avg_trade_vs_mid,future_ret_1,future_ret_2,future_ret_3,future_ret_5,future_ret_10,future_ret_20,future_ret_50,future_ret_100,future_ret_200,future_ret_500,future_ret_1000
10200,1,6,-6,10017.0,-8.0,0.0,-2.0,-6.0,-6.0,-3.0,-11.0,0.0,-12.0,-24.0,-61.0,-48.5
11200,1,4,4,10030.0,8.0,-1.5,-1.0,-2.0,-1.0,-8.0,-10.0,6.0,-15.0,-29.0,-58.0,-44.0
15700,1,2,2,10035.0,8.0,-1.0,-3.0,-4.0,1.0,-2.0,-9.0,-20.0,-43.0,-36.0,-42.0,-33.0
19100,1,6,6,10020.0,8.0,3.0,4.0,6.0,5.0,3.0,-7.0,-13.0,-12.0,-24.0,-19.0,-14.0
29200,1,4,-4,9993.0,-8.0,3.0,4.0,5.0,4.0,0.0,-8.0,7.0,-14.0,-42.0,-50.0,5.0
41100,1,6,6,9998.0,8.0,-1.0,-1.0,-1.0,2.0,7.0,-3.0,-10.0,-44.0,-21.0,-75.0,32.0
44000,1,4,-4,9978.0,-8.0,-1.0,-6.0,0.0,0.0,-5.0,-8.0,-29.0,-44.0,-10.0,-59.0,12.0
45100,1,3,3,9991.0,8.0,-5.5,-3.0,-1.0,-1.0,-3.0,-10.0,-28.0,-41.0,7.0,-44.5,21.0
49400,1,4,-4,9958.0,-4.0,-6.0,-4.0,-7.0,-7.0,-9.0,-21.0,-24.0,-9.0,33.0,-9.0,55.0
49800,1,3,3,9960.0,8.0,3.0,0.0,3.0,1.0,-2.0,-7.0,-10.5,4.0,43.0,7.0,65.0
58300,1,6,6,9963.0,8.0,-3.0,-3.0,1.0,1.0,-1.0,6.5,21.0,31.0,-1.0,23.0,56.0
60700,1,5,5,9973.0,8.0,-2.0,1.0,4.0,-1.0,7.0,7.0,20.0,25.0,-7.0,12.0,60.0
70900,1,2,2,9994.0,8.0,1.0,0.0,-1.0,-3.0,-5.0,-6.0,-15.0,-29.0,-64.0,16.0,23.0
71800,1,5,-5,9975.0,-8.0,-2.0,1.0,-1.0,-5.5,-5.0,-6.0,-25.0,-23.0,-59.0,25.0,24.0
72700,1,3,3,9988.0,8.0,-2.0,0.0,-3.0,0.0,-3.0,-1.0,-24.5,-24.0,-57.0,24.0,28.0
78700,1,3,-3,9939.0,-8.0,0.0,-1.0,2.0,4.0,8.0,11.0,4.0,-13.0,-4.0,56.0,65.0
85500,1,2,2,9954.0,8.0,1.0,-2.5,3.0,2.5,-1.0,-1.0,-18.0,-4.0,29.0,58.0,65.5
90100,1,3,3,9931.0,8.0,3.0,4.0,5.0,3.0,-8.0,-1.0,15.5,35.0,54.0,92.0,50.5
91700,1,2,2,9929.0,8.0,3.0,2.0,1.0,2.0,2.0,5.0,18.0,52.0,50.0,108.0,57.0
97600,1,2,-2,9937.0,-8.0,0.0,2.0,6.5,1.5,2.0,8.0,31.5,31.0,46.0,69.0,43.5
101800,1,3,3,9984.0,8.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,-3.0,32.0,43.0,-3.0
102400,1,3,3,9984.0,8.0,2.0,0.5,1.0,-1.0,0.0,0.0,3.0,-6.0,30.0,39.0,-2.0
104500,1,2,2,9984.0,8.0,-3.0,-3.0,-2.0,2.0,-1.0,3.5,6.0,10.0,41.0,34.0,-5.0
109600,1,6,6,9990.0,8.0,1.0,-1.0,-2.0,-5.0,-5.0,-10.0,6.0,17.0,21.0,36.0,-5.0
114500,1,5,5,9994.0,8.0,2.0,4.0,5.0,1.0,8.0,3.0,11.0,31.0,23.0,45.0,-11.0
124900,1,3,3,10022.0,8.0,-1.0,-1.0,-2.0,-1.0,-1.0,0.0,-4.5,-6.0,-12.0,7.0,-83.0
