timestamp,buyer,seller,symbol,currency,price,quantity,mid_price,best_bid,best_ask,spread,imbalance_L1,microprice_L1,micro_edge_L1,future_ret_1,future_ret_2,future_ret_3,future_ret_5,future_ret_10,future_ret_20,future_ret_50,future_ret_100,future_ret_200,future_ret_500,future_ret_1000,trade_vs_mid,trade_vs_microprice,side_guess,signed_qty
10200,,,HYDROGEL_PACK,XIRECS,10017.0,6,10025.0,10017,10033,16,0.0,10025.0,0.0,0.0,-2.0,-6.0,-6.0,-3.0,-11.0,0.0,-12.0,-24.0,-61.0,-48.5,-8.0,-8.0,seller_initiated,-6
11200,,,HYDROGEL_PACK,XIRECS,10030.0,4,10022.0,10014,10030,16,0.0,10022.0,0.0,-1.5,-1.0,-2.0,-1.0,-8.0,-10.0,6.0,-15.0,-29.0,-58.0,-44.0,8.0,8.0,buyer_initiated,4
15700,,,HYDROGEL_PACK,XIRECS,10035.0,2,10027.0,10019,10035,16,0.0,10027.0,0.0,-1.0,-3.0,-4.0,1.0,-2.0,-9.0,-20.0,-43.0,-36.0,-42.0,-33.0,8.0,8.0,buyer_initiated,2
19100,,,HYDROGEL_PACK,XIRECS,10020.0,6,10012.0,10004,10020,16,0.0,10012.0,0.0,3.0,4.0,6.0,5.0,3.0,-7.0,-13.0,-12.0,-24.0,-19.0,-14.0,8.0,8.0,buyer_initiated,6
29200,,,HYDROGEL_PACK,XIRECS,9993.0,4,10001.0,9993,10009,16,0.0,10001.0,0.0,3.0,4.0,5.0,4.0,0.0,-8.0,7.0,-14.0,-42.0,-50.0,5.0,-8.0,-8.0,seller_initiated,-4
41100,,,HYDROGEL_PACK,XIRECS,9998.0,6,9990.0,9982,9998,16,0.0,9990.0,0.0,-1.0,-1.0,-1.0,2.0,7.0,-3.0,-10.0,-44.0,-21.0,-75.0,32.0,8.0,8.0,buyer_initiated,6
44000,,,HYDROGEL_PACK,XIRECS,9978.0,4,9986.0,9978,9994,16,0.0,9986.0,0.0,-1.0,-6.0,0.0,0.0,-5.0,-8.0,-29.0,-44.0,-10.0,-59.0,12.0,-8.0,-8.0,seller_initiated,-4
45100,,,HYDROGEL_PACK,XIRECS,9991.0,3,9983.0,9975,9991,16,0.0,9983.0,0.0,-5.5,-3.0,-1.0,-1.0,-3.0,-10.0,-28.0,-41.0,7.0,-44.5,21.0,8.0,8.0,buyer_initiated,3
49400,,,HYDROGEL_PACK,XIRECS,9958.0,4,9962.0,9958,9966,8,-0.25,9961.0,-1.0,-6.0,-4.0,-7.0,-7.0,-9.0,-21.0,-24.0,-9.0,33.0,-9.0,55.0,-4.0,-3.0,seller_initiated,-4
49800,,,HYDROGEL_PACK,XIRECS,9960.0,3,9952.0,9944,9960,16,0.0,9952.0,0.0,3.0,0.0,3.0,1.0,-2.0,-7.0,-10.5,4.0,43.0,7.0,65.0,8.0,8.0,buyer_initiated,3
58300,,,HYDROGEL_PACK,XIRECS,9963.0,6,9955.0,9947,9963,16,0.0,9955.0,0.0,-3.0,-3.0,1.0,1.0,-1.0,6.5,21.0,31.0,-1.0,23.0,56.0,8.0,8.0,buyer_initiated,6
60700,,,HYDROGEL_PACK,XIRECS,9973.0,5,9965.0,9957,9973,16,0.0,9965.0,0.0,-2.0,1.0,4.0,-1.0,7.0,7.0,20.0,25.0,-7.0,12.0,60.0,8.0,8.0,buyer_initiated,5
70900,,,HYDROGEL_PACK,XIRECS,9994.0,2,9986.0,9978,9994,16,0.0,9986.0,0.0,1.0,0.0,-1.0,-3.0,-5.0,-6.0,-15.0,-29.0,-64.0,16.0,23.0,8.0,8.0,buyer_initiated,2
71800,,,HYDROGEL_PACK,XIRECS,9975.0,5,9983.0,9975,9991,16,0.0,9983.0,0.0,-2.0,1.0,-1.0,-5.5,-5.0,-6.0,-25.0,-23.0,-59.0,25.0,24.0,-8.0,-8.0,seller_initiated,-5
72700,,,HYDROGEL_PACK,XIRECS,9988.0,3,9980.0,9972,9988,16,0.0,9980.0,0.0,-2.0,0.0,-3.0,0.0,-3.0,-1.0,-24.5,-24.0,-57.0,24.0,28.0,8.0,8.0,buyer_initiated,3
78700,,,HYDROGEL_PACK,XIRECS,9939.0,3,9947.0,9939,9955,16,0.0,9947.0,0.0,0.0,-1.0,2.0,4.0,8.0,11.0,4.0,-13.0,-4.0,56.0,65.0,-8.0,-8.0,seller_initiated,-3
85500,,,HYDROGEL_PACK,XIRECS,9954.0,2,9946.0,9938,9954,16,0.0,9946.0,0.0,1.0,-2.5,3.0,2.5,-1.0,-1.0,-18.0,-4.0,29.0,58.0,65.5,8.0,8.0,buyer_initiated,2
90100,,,HYDROGEL_PACK,XIRECS,9931.0,3,9923.0,9915,9931,16,0.0,9923.0,0.0,3.0,4.0,5.0,3.0,-8.0,-1.0,15.5,35.0,54.0,92.0,50.5,8.0,8.0,buyer_initiated,3
91700,,,HYDROGEL_PACK,XIRECS,9929.0,2,9921.0,9913,9929,16,0.0,9921.0,0.0,3.0,2.0,1.0,2.0,2.0,5.0,18.0,52.0,50.0,108.0,57.0,8.0,8.0,buyer_initiated,2
97600,,,HYDROGEL_PACK,XIRECS,9937.0,2,9945.0,9937,9953,16,0.0,9945.0,0.0,0.0,2.0,6.5,1.5,2.0,8.0,31.5,31.0,46.0,69.0,43.5,-8.0,-8.0,seller_initiated,-2
101800,,,HYDROGEL_PACK,XIRECS,9984.0,3,9976.0,9968,9984,16,0.0,9976.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,-3.0,32.0,43.0,-3.0,8.0,8.0,buyer_initiated,3
102400,,,HYDROGEL_PACK,XIRECS,9984.0,3,9976.0,9968,9984,16,0.0,9976.0,0.0,2.0,0.5,1.0,-1.0,0.0,0.0,3.0,-6.0,30.0,39.0,-2.0,8.0,8.0,buyer_initiated,3
104500,,,HYDROGEL_PACK,XIRECS,9984.0,2,9976.0,9968,9984,16,0.0,9976.0,0.0,-3.0,-3.0,-2.0,2.0,-1.0,3.5,6.0,10.0,41.0,34.0,-5.0,8.0,8.0,buyer_initiated,2
109600,,,HYDROGEL_PACK,XIRECS,9990.0,6,9982.0,9974,9990,16,0.0,9982.0,0.0,1.0,-1.0,-2.0,-5.0,-5.0,-10.0,6.0,17.0,21.0,36.0,-5.0,8.0,8.0,buyer_initiated,6
114500,,,HYDROGEL_PACK,XIRECS,9994.0,5,9986.0,9978,9994,16,0.0,9986.0,0.0,2.0,4.0,5.0,1.0,8.0,3.0,11.0,31.0,23.0,45.0,-11.0,8.0,8.0,buyer_initiated,5
124900,,,HYDROGEL_PACK,XIRECS,10022.0,3,10014.0,10006,10022,16,0.0,10014.0,0.0,-1.0,-1.0,-2.0,-1.0,-1.0,0.0,-4.5,-6.0,-12.0,7.0,-83.0,8.0,8.0,buyer_initiated,3
126800,,,HYDROGEL_PACK,XIRECS,10015.0,2,10011.5,10008,10015,7,0.3333333333333333,10012.666666666666,1.1666666666660603,2.5,2.5,-0.5,-4.5,-1.5,-4.5,-13.5,4.5,-5.5,8.5,-96.5,3.5,2.3333333333339397,buyer_initiated,2
