feature,bucket,count,feature_min,feature_mean,feature_max,future_ret_1_mean,future_ret_1_hit_up,future_abs_ret_1_mean,future_ret_2_mean,future_ret_2_hit_up,future_abs_ret_2_mean,future_ret_3_mean,future_ret_3_hit_up,future_abs_ret_3_mean,future_ret_5_mean,future_ret_5_hit_up,future_abs_ret_5_mean,future_ret_10_mean,future_ret_10_hit_up,future_abs_ret_10_mean,future_ret_20_mean,future_ret_20_hit_up,future_abs_ret_20_mean,future_ret_50_mean,future_ret_50_hit_up,future_abs_ret_50_mean,future_ret_100_mean,future_ret_100_hit_up,future_abs_ret_100_mean,future_ret_200_mean,future_ret_200_hit_up,future_abs_ret_200_mean,future_ret_500_mean,future_ret_500_hit_up,future_abs_ret_500_mean,future_ret_1000_mean,future_ret_1000_hit_up,future_abs_ret_1000_mean
spread,"(6.999, 16.0]",9900,7.0,15.687878787878788,16.0,0.0017678553389231235,0.4066067279523184,1.6746641074856046,0.0003030915336431602,0.4328147100424328,2.265407152960194,-0.005405678488430838,0.44771142770536526,2.6968273214105283,-0.012733703890853966,0.45699848408287014,3.3983830217281454,-0.025884732052578362,0.4678463094034378,4.666127401415571,-0.04291497975708502,0.4703441295546559,6.448076923076923,-0.05979695431472081,0.4754314720812183,10.22477157360406,-0.08943877551020409,0.4866326530612245,14.246785714285714,-0.11453608247422681,0.5031958762886598,18.909072164948455,0.9878346791330217,0.523374415639609,22.658467913302168,2.25440269209198,0.5833987661245092,29.003365114974763
spread,"(16.0, 17.0]",100,17.0,17.0,17.0,-0.595,0.39,1.865,-0.87,0.4,2.31,-0.775,0.4,2.735,-0.91,0.37,3.0,-1.37,0.36,4.18,-3.13,0.32,7.01,-6.935,0.27,11.415,-10.95,0.28,16.67,-22.525,0.17,27.105,-27.357954545454547,0.19318181818181818,32.10795454545455,-42.758823529411764,0.1411764705882353,45.72352941176471
imbalance_L1,"(-0.58, 0.0]",9814,-0.5789473684210527,-0.004541917597269351,0.0,-0.0798940181392031,0.3959033934576582,1.6311015999184755,-0.08535466775377089,0.42305340399510805,2.229565837749694,-0.08653552135358271,0.43899704413413515,2.668025685455101,-0.08996839637067999,0.4497910082577225,3.371852380466918,-0.11179110567115463,0.46195430436556506,4.642900856793146,-0.14840718807433123,0.46518276495813765,6.438380641208903,-0.20419866871479775,0.47107014848950335,10.22447516641065,-0.27485590778097985,0.4826060107039934,14.248713462330176,-0.40654885654885653,0.49864864864864866,18.97983367983368,0.6838803088803089,0.5198412698412699,22.7253861003861,1.8266576148449876,0.579316587463227,29.177302557139626
imbalance_L1,"(0.0, 0.579]",186,0.047619047619047616,0.28598286338327544,0.5789473684210527,3.989247311827957,0.9623655913978495,4.075268817204301,4.051075268817204,0.9301075268817204,4.18010752688172,3.860215053763441,0.8817204301075269,4.236559139784946,3.577956989247312,0.7903225806451613,4.583333333333333,3.7795698924731185,0.7204301075268817,5.629032258064516,3.8521505376344085,0.6612903225806451,7.260752688172043,3.845945945945946,0.5945945945945946,10.883783783783784,3.7989130434782608,0.5869565217391305,15.46195652173913,3.0416666666666665,0.5611111111111111,19.680555555555557,2.9176136363636362,0.5454545454545454,23.838068181818183,1.9722222222222223,0.5740740740740741,28.287037037037038
imbalance_L2,"(-0.482, 0.0]",9808,-0.48148148148148145,-0.005223361324254004,0.0,-0.08269603344549811,0.3955338023860508,1.6293463852350363,-0.08749745054048541,0.4228023658984295,2.2284315725066284,-0.088883222845487,0.4388577256501785,2.6669556348801633,-0.09242068754462919,0.44965826787718044,3.3696827501785167,-0.11436007348438457,0.4618289446825883,4.6416105327617885,-0.15304454434000817,0.46495709031467103,6.437065794850838,-0.20826928988625884,0.4709498924070089,10.222922430576903,-0.2818968180413964,0.4824425908763258,14.249047471939038,-0.41331253250130007,0.4984919396775871,18.978471138845553,0.6773795471617127,0.5197982616160532,22.721804914690416,1.8214649609419222,0.5791916676100985,29.180006792709158
imbalance_L2,"(0.0, 0.462]",192,0.1724137931034483,0.31662385181250813,0.46153846153846156,4.005208333333333,0.9635416666666666,4.088541666666667,4.03125,0.9270833333333334,4.177083333333333,3.8567708333333335,0.875,4.2421875,3.5885416666666665,0.7864583333333334,4.65625,3.7890625,0.71875,5.6640625,3.9635416666666665,0.6666666666666666,7.302083333333333,3.926701570680628,0.5968586387434555,10.942408376963352,4.052910052910053,0.5925925925925926,15.412698412698413,3.3,0.5675675675675675,19.732432432432432,3.1906077348066297,0.5469613259668509,23.99171270718232,2.2425149700598803,0.5808383233532934,28.17065868263473
imbalance_L3,"(-0.144, 0.0]",9838,-0.14285714285714285,-0.001694551105937909,0.0,0.05962183592558707,0.4127274575581986,1.6396767307105824,0.048444489629930865,0.4378812525416836,2.24069743798292,0.04138281647178444,0.45195729537366547,2.677071682765633,0.039306417166683615,0.46079528119597274,3.377250076273772,0.019230769230769232,0.4700854700854701,4.6464183964183965,-0.016143817478101445,0.47097168466082706,6.441688734976574,-0.09505567473694963,0.4743078966186536,10.24205741138012,-0.16866851452622933,0.4853711117955035,14.28251719535982,-0.3232061385317296,0.49968892575694734,18.982787225217752,0.7923842122152102,0.5212322173494491,22.75922558562413,1.8183972911963882,0.5786681715575621,29.159706546275395
imbalance_L3,"(0.0, 0.143]",162,0.044444444444444446,0.08715732488481388,0.14285714285714285,-3.8796296296296298,0.024691358024691357,3.9166666666666665,-3.4598765432098766,0.10493827160493827,3.79320987654321,-3.3209876543209877,0.16049382716049382,3.919753086419753,-3.7253086419753085,0.1728395061728395,4.435185185185185,-3.5925925925925926,0.2654320987654321,5.561728395061729,-3.5709876543209877,0.3395061728395062,7.182098765432099,-2.186335403726708,0.4161490683229814,9.91304347826087,-2.0660377358490565,0.4339622641509434,13.581761006289309,-1.580128205128205,0.5064102564102564,19.60576923076923,-3.4304635761589406,0.46357615894039733,21.927152317880793,2.517857142857143,0.6142857142857143,29.260714285714286
micro_edge_L1,"(-2.501, 0.0]",9814,-2.5,-0.019139393462376215,0.0,-0.0798940181392031,0.3959033934576582,1.6311015999184755,-0.08535466775377089,0.42305340399510805,2.229565837749694,-0.08653552135358271,0.43899704413413515,2.668025685455101,-0.08996839637067999,0.4497910082577225,3.371852380466918,-0.11179110567115463,0.46195430436556506,4.642900856793146,-0.14840718807433123,0.46518276495813765,6.438380641208903,-0.20419866871479775,0.47107014848950335,10.22447516641065,-0.27485590778097985,0.4826060107039934,14.248713462330176,-0.40654885654885653,0.49864864864864866,18.97983367983368,0.6838803088803089,0.5198412698412699,22.7253861003861,1.8266576148449876,0.579316587463227,29.177302557139626
micro_edge_L1,"(0.0, 2.222]",186,0.16666666666606034,1.0599898094159206,2.2222222222226264,3.989247311827957,0.9623655913978495,4.075268817204301,4.051075268817204,0.9301075268817204,4.18010752688172,3.860215053763441,0.8817204301075269,4.236559139784946,3.577956989247312,0.7903225806451613,4.583333333333333,3.7795698924731185,0.7204301075268817,5.629032258064516,3.8521505376344085,0.6612903225806451,7.260752688172043,3.845945945945946,0.5945945945945946,10.883783783783784,3.7989130434782608,0.5869565217391305,15.46195652173913,3.0416666666666665,0.5611111111111111,19.680555555555557,2.9176136363636362,0.5454545454545454,23.838068181818183,1.9722222222222223,0.5740740740740741,28.287037037037038
bid_size_1,"(3.999, 10.0]",1819,4.0,9.74656404617922,10.0,-0.2954920285871358,0.37822979659153383,1.855140186915888,-0.23652365236523654,0.41474147414741475,2.3844884488448845,-0.15456545654565457,0.43399339933993397,2.792079207920792,-0.15951595159515952,0.4526952695269527,3.466996699669967,-0.25288937809576223,0.45294441386901485,4.711337369290039,-0.2442180616740088,0.4620044052863436,6.452367841409692,-0.6906077348066298,0.4613259668508287,10.232044198895027,-0.7002218524681088,0.4620077648363838,14.380754298391569,-0.5014044943820225,0.505056179775281,18.804775280898877,-0.2792321116928447,0.48632926119837117,22.77021524141943,1.2458512599877074,0.5679164105716041,29.36263060848187
bid_size_1,"(10.0, 11.0]",1701,11.0,11.0,11.0,0.12904174015285128,0.42386831275720166,1.6263962375073486,0.059082892416225746,0.4385655496766608,2.260728982951205,0.013823529411764707,0.4541176470588235,2.6561764705882354,-0.03529411764705882,0.44941176470588234,3.425294117647059,-0.09382352941176471,0.46705882352941175,4.61735294117647,-0.13221436984687868,0.4617196702002356,6.499116607773852,-0.3628030751034891,0.46422235363690123,9.993790656416321,-0.5459427207637232,0.4677804295942721,14.142601431980907,-0.20858524788391777,0.5042321644498187,18.827085852478838,0.8210262828535669,0.5269086357947435,22.385481852315394,1.638780804150454,0.5804150453955902,30.132295719844358
bid_size_1,"(11.0, 12.0]",1677,12.0,12.0,12.0,0.0441527446300716,0.4063245823389022,1.6664677804295942,0.03937947494033413,0.43675417661097854,2.2583532219570404,0.027147971360381863,0.4510739856801909,2.7073389021479715,0.020883054892601432,0.4594272076372315,3.418854415274463,0.056119402985074625,0.471044776119403,4.61910447761194,0.12246117084826762,0.478494623655914,6.620071684587813,0.6127098321342925,0.5047961630695443,10.509592326139089,0.4335138387484958,0.5084235860409145,14.112214199759325,0.147900182592818,0.5100426049908704,19.068167985392574,1.5084959093769665,0.5305223410950283,23.293266205160478,2.4749666221628837,0.57543391188251,28.901535380507344
