metric,count,missing,mean,median,std,min,p01,p05,p10,p25,p75,p90,p95,p99,max,n_unique,horizon,positive_pct,negative_pct,zero_pct,mean_abs
past_ret_1,9999,1,0.005700570057005701,0.0,2.1483227329392687,-10.5,-5.5,-3.5,-3.0,-1.0,1.0,3.0,3.0,5.0,11.5,43,1,0.4152415241524152,0.41114111411141113,0.17361736173617362,1.650965096509651
past_ret_2,9998,2,0.010902180436087218,0.0,2.843546534400525,-12.0,-7.0,-5.0,-4.0,-2.0,2.0,4.0,5.0,7.0,12.0,47,2,0.4359871974394879,0.4348869773954791,0.12912582516503301,2.237247449489898
past_ret_3,9997,3,0.016504951485445635,0.0,3.414892716500267,-14.5,-8.0,-6.0,-4.0,-2.0,2.0,4.0,6.0,8.0,13.0,52,3,0.45233570071021306,0.4446333900170051,0.10303090927278183,2.7111133340002
past_ret_5,9995,5,0.028214107053526765,0.0,4.319577480720569,-15.0,-10.0,-7.0,-5.5,-3.0,3.0,6.0,7.0,10.0,17.0,60,5,0.4619309654827414,0.45862931465732865,0.07943971985992997,3.4414207103551777
past_ret_10,9990,10,0.053953953953953956,0.0,6.029675328316051,-22.5,-14.0,-10.0,-8.0,-4.0,4.0,8.0,10.0,14.0,22.5,82,10,0.47997997997998,0.46256256256256256,0.05745745745745746,4.827427427427428
past_ret_20,9980,20,0.10706412825651303,0.0,8.470449047289495,-30.5,-20.0,-14.0,-11.0,-6.0,6.0,11.0,14.0,19.0,27.0,107,20,0.48927855711422846,0.4688376753507014,0.04188376753507014,6.770390781563126
past_ret_50,9950,50,0.2744723618090452,0.5,13.239146274127172,-38.0,-29.0,-22.0,-17.5,-9.0,10.0,17.0,22.0,29.0,41.0,149,50,0.5019095477386935,0.4748743718592965,0.02321608040201005,10.834472361809045
past_ret_100,9900,100,0.6884848484848485,0.5,18.080344498511074,-60.0,-40.0,-29.0,-23.0,-11.5,13.0,24.5,32.0,41.0,54.0,201,100,0.5026262626262626,0.4767676767676768,0.020606060606060607,14.465757575757575
past_ret_200,9800,200,1.3818367346938776,2.0,23.798983983152464,-89.0,-56.0,-38.0,-29.0,-14.5,18.0,32.0,40.0,54.0,74.0,277,200,0.5238775510204081,0.46010204081632655,0.016020408163265307,18.988061224489797
past_ret_500,9500,500,3.231105263157895,1.0,32.88667846122651,-81.0,-65.0,-49.0,-38.0,-18.0,23.0,51.55000000000018,63.0,79.0,96.5,337,500,0.503578947368421,0.48694736842105263,0.009473684210526316,26.096263157894736
past_ret_1000,9000,1000,6.1290555555555555,4.0,41.50985949868861,-86.0,-75.0,-60.0,-50.0,-24.0,39.0,64.05000000000018,75.52499999999964,92.0,112.5,377,1000,0.5292222222222223,0.4647777777777778,0.006,34.42027777777778
