column,dtype,missing_count,missing_pct,present_pct,n_unique
day,int64,0,0.0,1.0,1
timestamp,int64,0,0.0,1.0,10000
product,object,0,0.0,1.0,1
bid_price_1,int64,0,0.0,1.0,171
bid_volume_1,int64,0,0.0,1.0,12
bid_price_2,float64,0,0.0,1.0,171
bid_volume_2,float64,0,0.0,1.0,17
bid_price_3,float64,9829,0.9829,0.0171,91
bid_volume_3,float64,9829,0.9829,0.0171,11
ask_price_1,int64,0,0.0,1.0,171
ask_volume_1,int64,0,0.0,1.0,12
ask_price_2,float64,0,0.0,1.0,171
ask_volume_2,float64,0,0.0,1.0,17
ask_price_3,float64,9843,0.9843,0.0157,83
ask_volume_3,float64,9843,0.9843,0.0157,11
mid_price,float64,0,0.0,1.0,325
profit_and_loss,float64,0,0.0,1.0,1
best_bid,int64,0,0.0,1.0,171
best_ask,int64,0,0.0,1.0,171
computed_mid,float64,0,0.0,1.0,325
mid_error,float64,0,0.0,1.0,1
spread,int64,0,0.0,1.0,6
half_spread,float64,0,0.0,1.0,6
bid_size_1,int64,0,0.0,1.0,12
ask_size_1,int64,0,0.0,1.0,12
bid_size_2,float64,0,0.0,1.0,17
ask_size_2,float64,0,0.0,1.0,17
bid_size_3,float64,0,0.0,1.0,12
ask_size_3,float64,0,0.0,1.0,12
bid_gap_12,float64,0,0.0,1.0,4
bid_gap_23,float64,9829,0.9829,0.0171,2
ask_gap_12,float64,0,0.0,1.0,4
ask_gap_23,float64,9843,0.9843,0.0157,2
bid_depth_L1,int64,0,0.0,1.0,12
ask_depth_L1,int64,0,0.0,1.0,12
total_depth_L1,int64,0,0.0,1.0,15
imbalance_L1,float64,0,0.0,1.0,71
bid_depth_L2,float64,0,0.0,1.0,28
ask_depth_L2,float64,0,0.0,1.0,28
total_depth_L2,float64,0,0.0,1.0,37
imbalance_L2,float64,0,0.0,1.0,167
bid_depth_L3,float64,0,0.0,1.0,25
ask_depth_L3,float64,0,0.0,1.0,25
total_depth_L3,float64,0,0.0,1.0,37
imbalance_L3,float64,0,0.0,1.0,141
microprice_L1,float64,0,0.0,1.0,563
micro_edge_L1,float64,0,0.0,1.0,116
bid_wap_L1,float64,0,0.0,1.0,171
ask_wap_L1,float64,0,0.0,1.0,171
book_wap_mid_L1,float64,0,0.0,1.0,325
book_wap_edge_L1,float64,0,0.0,1.0,1
bid_wap_L2,float64,0,0.0,1.0,6760
ask_wap_L2,float64,0,0.0,1.0,6784
book_wap_mid_L2,float64,0,0.0,1.0,6738
book_wap_edge_L2,float64,0,0.0,1.0,412
bid_wap_L3,float64,0,0.0,1.0,6806
ask_wap_L3,float64,0,0.0,1.0,6829
