metric,count,missing,mean,median,std,min,p01,p05,p10,p25,p75,p90,p95,p99,max,n_unique,horizon,positive_pct,negative_pct,zero_pct,mean_abs
past_ret_1,9999,1,-0.0042004200420042,0.0,2.1912194428594267,-11.5,-5.5,-3.5,-3.0,-1.0,1.0,3.0,3.5,5.0,9.5,39,1,0.40644064406440644,0.40744074407440745,0.1861186118611861,1.6765676567656767
past_ret_2,9998,2,-0.008401680336067214,0.0,2.877475175375219,-11.5,-7.0,-5.0,-4.0,-2.0,2.0,4.0,5.0,7.0,13.5,45,2,0.43248649729945987,0.4376875375075015,0.1298259651930386,2.2658531706341267
past_ret_3,9997,3,-0.013103931179353805,0.0,3.416979461155237,-13.5,-8.0,-6.0,-4.0,-2.0,2.0,4.0,6.0,8.0,13.5,53,3,0.4472341702510753,0.4440332099629889,0.10873261978593578,2.6972091627488246
past_ret_5,9995,5,-0.02171085542771386,0.0,4.301061305241776,-17.0,-10.0,-7.0,-5.5,-3.0,3.0,5.0,7.0,10.0,17.0,66,5,0.456128064032016,0.45732866433216607,0.0865432716358179,3.3943971985993
past_ret_10,9990,10,-0.03933933933933934,0.0,5.8992317290013,-22.0,-14.0,-10.0,-7.5,-4.0,4.0,7.5,10.0,14.0,20.5,82,10,0.46676676676676676,0.46726726726726725,0.06596596596596596,4.661261261261261
past_ret_20,9980,20,-0.07384769539078156,0.0,8.047391160137964,-29.0,-19.0,-13.0,-10.0,-6.0,5.5,10.0,13.0,19.0,29.0,103,20,0.4688376753507014,0.48547094188376755,0.045691382765531065,6.453707414829659
past_ret_50,9950,50,-0.12889447236180904,-0.5,12.541804426040574,-44.0,-28.0,-20.0,-16.0,-9.0,9.0,16.0,21.0,28.0,39.0,149,50,0.4733668341708543,0.5021105527638191,0.02452261306532663,10.236733668341708
past_ret_100,9900,100,-0.19914141414141415,0.0,17.666563036149835,-55.0,-39.0,-30.0,-23.0,-13.0,12.0,22.5,29.0,40.50500000000011,56.5,199,100,0.48454545454545456,0.49707070707070705,0.018383838383838384,14.271262626262626
past_ret_200,9800,200,-0.3432142857142857,0.0,23.018859208220604,-72.0,-51.0,-40.0,-32.0,-17.0,17.0,29.0,35.0,48.0,65.0,246,200,0.49979591836734694,0.4866326530612245,0.013571428571428571,18.992704081632652
past_ret_500,9500,500,0.7252631578947368,2.0,28.243870602996598,-89.5,-73.0,-46.02499999999998,-36.549999999999955,-18.0,20.0,37.0,45.0,60.0,74.0,304,500,0.5203157894736842,0.46610526315789474,0.013578947368421053,22.746
past_ret_1000,9000,1000,1.8292777777777778,8.0,35.58604954852085,-124.0,-100.0,-60.0,-48.0,-24.0,27.0,46.0,56.0,67.0,82.0,357,1000,0.5792222222222222,0.41055555555555556,0.010222222222222223,29.161277777777777
