column,dtype,missing_count,missing_pct,present_pct,n_unique
day,int64,0,0.0,1.0,1
timestamp,int64,0,0.0,1.0,10000
product,object,0,0.0,1.0,1
bid_price_1,int64,0,0.0,1.0,141
bid_volume_1,int64,0,0.0,1.0,12
bid_price_2,float64,0,0.0,1.0,141
bid_volume_2,float64,0,0.0,1.0,17
bid_price_3,float64,9838,0.9838,0.0162,79
bid_volume_3,float64,9838,0.9838,0.0162,11
ask_price_1,int64,0,0.0,1.0,141
ask_volume_1,int64,0,0.0,1.0,12
ask_price_2,float64,0,0.0,1.0,140
ask_volume_2,float64,0,0.0,1.0,17
ask_price_3,float64,9808,0.9808,0.0192,88
ask_volume_3,float64,9808,0.9808,0.0192,11
mid_price,float64,0,0.0,1.0,258
profit_and_loss,float64,0,0.0,1.0,1
best_bid,int64,0,0.0,1.0,141
best_ask,int64,0,0.0,1.0,141
computed_mid,float64,0,0.0,1.0,258
mid_error,float64,0,0.0,1.0,1
spread,int64,0,0.0,1.0,6
half_spread,float64,0,0.0,1.0,6
bid_size_1,int64,0,0.0,1.0,12
ask_size_1,int64,0,0.0,1.0,12
bid_size_2,float64,0,0.0,1.0,17
ask_size_2,float64,0,0.0,1.0,17
bid_size_3,float64,0,0.0,1.0,12
ask_size_3,float64,0,0.0,1.0,12
bid_gap_12,float64,0,0.0,1.0,4
bid_gap_23,float64,9838,0.9838,0.0162,2
ask_gap_12,float64,0,0.0,1.0,4
ask_gap_23,float64,9808,0.9808,0.0192,2
bid_depth_L1,int64,0,0.0,1.0,12
ask_depth_L1,int64,0,0.0,1.0,12
total_depth_L1,int64,0,0.0,1.0,15
imbalance_L1,float64,0,0.0,1.0,69
bid_depth_L2,float64,0,0.0,1.0,28
ask_depth_L2,float64,0,0.0,1.0,28
total_depth_L2,float64,0,0.0,1.0,37
imbalance_L2,float64,0,0.0,1.0,185
bid_depth_L3,float64,0,0.0,1.0,26
ask_depth_L3,float64,0,0.0,1.0,25
total_depth_L3,float64,0,0.0,1.0,38
imbalance_L3,float64,0,0.0,1.0,151
microprice_L1,float64,0,0.0,1.0,542
micro_edge_L1,float64,0,0.0,1.0,124
bid_wap_L1,float64,0,0.0,1.0,141
ask_wap_L1,float64,0,0.0,1.0,141
book_wap_mid_L1,float64,0,0.0,1.0,258
book_wap_edge_L1,float64,0,0.0,1.0,1
bid_wap_L2,float64,0,0.0,1.0,6215
ask_wap_L2,float64,0,0.0,1.0,6177
book_wap_mid_L2,float64,0,0.0,1.0,6351
book_wap_edge_L2,float64,0,0.0,1.0,434
bid_wap_L3,float64,0,0.0,1.0,6250
ask_wap_L3,float64,0,0.0,1.0,6225
