day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss;S;K;TTE_days;T_years;IV;Delta;Gamma;Vega;Theta;Rho
0;0;VEV_5400;22;25;;;;;24;25;;;;;23.0;0.0;5250.0;5400.0;8.0;0.032;0.1985271566955905;0.21902663890192914;0.0015840488999927004;277.36847072881386;-860.3933414186804;36.06047533552409
0;0;VEV_6500;0;16;;;;;1;16;;;;;0.5;0.0;5250.0;6500.0;8.0;0.032;0.4431452631266871;0.003970721430067501;2.8279579046074603e-05;11.053190040781487;-76.53388764080296;0.6510812002513513
0;0;VEV_5500;8;25;;;;;9;25;;;;;8.5;0.0;5250.0;5500.0;8.0;0.032;0.19849209604119325;0.09810963828637265;0.000928395465144827;162.5342207355905;-504.0899711285834;16.21041923211062
0;0;VEV_5200;100;19;;;;;103;6;104.0;13.0;;;101.5;0.0;5250.0;5200.0;8.0;0.032;0.19798696934411;0.613289245447652;0.0020584499878460775;359.45581423253725;-1111.993238640929;99.78459323520553
0;0;VEV_5300;52;6;51.0;19.0;;;54;25;;;;;53.0;0.0;5250.0;5300.0;8.0;0.032;0.20024040364666426;0.40256601513651935;0.002057818784502525;363.4355652836977;-1137.1013170618942;65.93509054293524
0;0;VEV_4500;742;6;740.0;13.0;;;758;6;760.0;13.0;;;750.0;0.0;5250.0;4500.0;8.0;0.032;0.0;1.0;0.0;0.0;0.0;0.0
0;0;VEV_5000;254;19;;;;;260;6;261.0;13.0;;;257.0;0.0;5250.0;5000.0;8.0;0.032;0.1980702103315713;0.9184512442029126;0.000810861513800809;141.65582433888287;-438.40310814835385;146.07580902608933
0;0;VEV_4000;1240;7;1237.0;24.0;;;1260;7;1263.0;24.0;;;1250.0;0.0;5250.0;4000.0;8.0;0.032;0.0;1.0;0.0;0.0;0.0;0.0
0;0;VEV_5100;169;19;;;;;174;19;;;;;171.5;0.0;5250.0;5100.0;8.0;0.032;0.1986686026305826;0.7976976174919022;0.0015108329981098937;264.7367810386316;-821.7950992791166;128.52519973863954
0;0;VEV_6000;0;25;;;;;1;25;;;;;0.5;0.0;5250.0;6000.0;8.0;0.032;0.29248509065030154;0.005768797704596272;5.977883871311304e-05;15.421257610897618;-70.47637391039129;0.9531580143721741
0;100;VEV_4500;743;9;741.0;13.0;;;759;9;761.0;13.0;;;751.0;0.0;5250.5;4500.0;7.9999;0.0319996;0.33784788871383536;0.9950949217389551;4.479716207602406e-05;13.351116532988666;-70.47973306920402;143.15807887253766
0;100;VEV_5000;255;9;254.0;13.0;;;261;9;262.0;13.0;;;258.0;0.0;5250.5;5000.0;7.9999;0.0319996;0.2018346992303672;0.9149727608277696;0.0008210500937195019;146.1878779795046;-461.03367515717275;145.4722449574462
0;100;VEV_4000;1240;11;1238.0;20.0;;;1261;11;1264.0;20.0;;;1250.5;0.0;5250.5;4000.0;7.9999;0.0319996;0.0;1.0;0.0;0.0;0.0;0.0
0;100;VEV_5100;170;22;;;;;174;9;175.0;13.0;;;172.0;0.0;5250.5;5100.0;7.9999;0.0319996;0.19905178828453451;0.79801983992712;0.0015063529745177164;264.50793697511415;-822.6786877078059;128.57449422392713
0;100;VEV_6000;0;17;;;;;1;17;;;;;0.5;0.0;5250.5;6000.0;7.9999;0.0319996;0.2922998808539209;0.005771614921256233;5.983731381068832e-05;15.429313478143252;-70.46941979460787;0.9537117310641285
0;100;VEV_5400;23;17;;;;;24;17;;;;;23.5;0.0;5250.5;5400.0;7.9999;0.0319996;0.19992939584956546;0.22149973371106396;0.0015829571796902098;279.18475248923806;-872.1552596842432;36.463043465457396
0;100;VEV_6500;0;18;;;;;1;18;;;;;0.5;0.0;5250.5;6500.0;7.9999;0.0319996;0.44296841884817406;0.003971820087735823;2.829536137218184e-05;11.05691280319972;-76.53006884110289;0.6513211822444881
0;100;VEV_5500;8;17;;;;;9;17;;;;;8.5;0.0;5250.5;5500.0;7.9999;0.0319996;0.19819148963131428;0.09822456797184237;0.0009305186087255242;162.68815718220554;-503.8095510149301;16.23109612111942
0;100;VEV_5200;101;22;;;;;104;22;;;;;102.5;0.0;5250.5;5200.0;7.9999;0.0319996;0.19991703256499985;0.6133767510688066;0.002038261434860595;359.4641297623473;-1122.8734442875616;99.77586099372402
0;100;VEV_5300;52;17;;;;;54;17;;;;;53.0;0.0;5250.5;5300.0;7.9999;0.0319996;0.1996874716130297;0.403294520434113;0.002064287882261025;363.6360708769657;-1134.601175963414;66.0631063461076
0;200;VEV_5000;254;22;;;;;260;10;261.0;12.0;;;257.0;0.0;5250.5;5000.0;7.9998;0.0319992;0.19476533727915116;0.9222762134946378;0.0007951208152773735;136.61086355439662;-415.7457204581389;146.72949195750795
0;200;VEV_4000;1240;13;1237.0;21.0;;;1261;13;1263.0;21.0;;;1250.5;0.0;5250.5;4000.0;7.9998;0.0319992;0.0;1.0;0.0;0.0;0.0;0.0
0;200;VEV_5100;170;10;169.0;12.0;;;174;22;;;;;172.0;0.0;5250.5;5100.0;7.9998;0.0319992;0.19905303238542899;0.7980198399271167;0.0015063529745177088;264.5062837746794;-822.6889714485162;128.5728870226587
0;200;VEV_6000;0;24;;;;;1;24;;;;;0.5;0.0;5250.5;6000.0;7.9998;0.0319992;0.29230170776813913;0.0057716149212561;5.9837313810687325e-05;15.429217043426915;-70.47030068437594;0.9536998095184491
0;200;VEV_5400;23;10;22.0;14.0;;;24;24;;;;;23.5;0.0;5250.5;5400.0;7.9998;0.0319992;0.1999306454356241;0.22149973371106385;0.0015829571796902107;279.18300755727034;-872.1661618975439;36.462587671716626
0;200;VEV_6500;0;16;;;;;1;16;;;;;0.5;0.0;5250.5;6500.0;7.9998;0.0319992;0.4429711874613554;0.003971820087735823;2.8295361372181835e-05;11.056843696414905;-76.53102549087966;0.6513130406279398
0;200;VEV_5500;8;24;;;;;9;24;;;;;8.5;0.0;5250.5;5500.0;7.9998;0.0319992;0.19819272835521987;0.09822456797184043;0.0009305186087255189;162.68714036533308;-503.8158487917508;16.230893229881442
0;200;VEV_5200;101;10;100.0;12.0;;;104;22;;;;;102.5;0.0;5250.5;5200.0;7.9998;0.0319992;0.199918282073786;0.6133767510688068;0.0020382614348605985;359.4618830764317;-1122.8874805565194;99.77461377987143
0;200;VEV_5300;52;10;51.0;14.0;;;54;24;;;;;53.0;0.0;5250.5;5300.0;7.9998;0.0319992;0.1996887196870301;0.4032945204341136;0.0020642878822610135;363.63379811601095;-1134.6153588326927;66.06228054695588
