series,lag,autocorr
past_ret_1,1,-0.12535182897845762
past_ret_1,2,0.021481682538269924
past_ret_1,3,-0.010244393567731982
past_ret_1,4,-0.0028786714395273028
past_ret_1,5,0.004547628049897821
past_ret_1,6,-0.000185950637753181
past_ret_1,7,-0.008155688540115688
past_ret_1,8,-0.008066021014999087
past_ret_1,9,0.005277595862358255
past_ret_1,10,-0.016541122553817022
past_ret_1,11,0.00665492821642185
past_ret_1,12,0.004896028460681419
past_ret_1,13,-0.017792667631911254
past_ret_1,14,0.008527547694003944
past_ret_1,15,-0.010915139494231079
past_ret_1,16,0.021078618813586917
past_ret_1,17,-0.0040205252866982785
past_ret_1,18,-0.0031378957413853476
past_ret_1,19,0.010764758159840484
past_ret_1,20,0.00699983245527934
past_ret_1,21,-0.011777096755361623
past_ret_1,22,0.001957460445594837
past_ret_1,23,-0.005777151428812877
past_ret_1,24,-0.0006384578555130994
past_ret_1,25,-0.017072897119553728
past_ret_1,26,-1.5982442288682736e-05
past_ret_1,27,0.010286536510419032
past_ret_1,28,-0.018260435662252394
past_ret_1,29,0.008878710258026591
past_ret_1,30,-0.001990471645365609
past_ret_1,31,-0.005163031784516107
past_ret_1,32,-0.00798053897933922
past_ret_1,33,-0.002363993059313903
past_ret_1,34,0.0132925433226554
past_ret_1,35,-0.011737842663682937
past_ret_1,36,-0.00218322398069626
past_ret_1,37,-0.005911664605826799
past_ret_1,38,-0.007046372467326474
past_ret_1,39,0.0036495190593709755
past_ret_1,40,-0.0018269693133915346
past_ret_1,41,0.0017854271318685914
past_ret_1,42,-0.009276026923393174
past_ret_1,43,0.015524698789276972
past_ret_1,44,-0.013493619489254677
past_ret_1,45,0.024248445262054094
past_ret_1,46,0.009959188964100127
past_ret_1,47,0.014433697333019899
past_ret_1,48,-0.010556691139645897
past_ret_1,49,-0.0005221533242009852
past_ret_1,50,-0.0018660244211132157
past_ret_1,51,0.011280124248757182
past_ret_1,52,-0.015860100628612993
past_ret_1,53,-0.0068285328574399255
past_ret_1,54,0.007901521297525825
past_ret_1,55,-0.00224595576148464
past_ret_1,56,0.0073790031872688405
past_ret_1,57,-0.007833333371923748
past_ret_1,58,0.004600795557744306
past_ret_1,59,-0.009547633240840384
past_ret_1,60,-0.016315219897751403
past_ret_1,61,0.0204603291590055
past_ret_1,62,-0.01712413842760583
past_ret_1,63,-0.0002771331532073446
past_ret_1,64,-0.009274544115872847
past_ret_1,65,0.0010364428262836822
past_ret_1,66,-0.015766951464408492
past_ret_1,67,0.007144230235392227
past_ret_1,68,0.005087900569676266
past_ret_1,69,0.0007004198001915898
past_ret_1,70,-0.009038788828355224
past_ret_1,71,0.012642518591743021
past_ret_1,72,-0.008392785613718892
past_ret_1,73,0.001839162051530691
past_ret_1,74,-0.013050217911545939
past_ret_1,75,-0.005731197542055145
past_ret_1,76,-0.005972953071467713
past_ret_1,77,0.0016311543989391095
past_ret_1,78,0.006514030896779202
past_ret_1,79,-0.0051933913308733525
past_ret_1,80,-0.014436429414148537
past_ret_1,81,0.016685127212574993
past_ret_1,82,-0.009420427938333349
past_ret_1,83,0.017514192193387932
past_ret_1,84,-0.0029803283229599712
past_ret_1,85,0.020860974365133123
past_ret_1,86,-0.009151470218507528
past_ret_1,87,0.005796881837229828
past_ret_1,88,-0.005819294694252426
past_ret_1,89,0.009685283765234688
past_ret_1,90,-0.01871973148825532
past_ret_1,91,2.14773824955153e-05
past_ret_1,92,8.57344308939191e-05
past_ret_1,93,-0.014704918961883143
past_ret_1,94,-0.003540749119027431
past_ret_1,95,-0.00018747001632030656
past_ret_1,96,-0.014130124199916553
past_ret_1,97,0.014956014581192998
past_ret_1,98,-0.004597803224603443
past_ret_1,99,0.014442094940027381
past_ret_1,100,-0.007948280719627127
