column,dtype,missing_count,missing_pct,present_pct,n_unique
day,int64,0,0.0,1.0,1
timestamp,int64,0,0.0,1.0,10000
product,object,0,0.0,1.0,1
bid_price_1,int64,0,0.0,1.0,161
bid_volume_1,int64,0,0.0,1.0,12
bid_price_2,float64,0,0.0,1.0,160
bid_volume_2,float64,0,0.0,1.0,17
bid_price_3,float64,9859,0.9859,0.0141,83
bid_volume_3,float64,9859,0.9859,0.0141,11
ask_price_1,int64,0,0.0,1.0,161
ask_volume_1,int64,0,0.0,1.0,12
ask_price_2,float64,0,0.0,1.0,161
ask_volume_2,float64,0,0.0,1.0,17
ask_price_3,float64,9833,0.9833,0.0167,90
ask_volume_3,float64,9833,0.9833,0.0167,11
mid_price,float64,0,0.0,1.0,307
profit_and_loss,float64,0,0.0,1.0,1
best_bid,int64,0,0.0,1.0,161
best_ask,int64,0,0.0,1.0,161
computed_mid,float64,0,0.0,1.0,307
mid_error,float64,0,0.0,1.0,1
spread,int64,0,0.0,1.0,6
half_spread,float64,0,0.0,1.0,6
bid_size_1,int64,0,0.0,1.0,12
ask_size_1,int64,0,0.0,1.0,12
bid_size_2,float64,0,0.0,1.0,17
ask_size_2,float64,0,0.0,1.0,17
bid_size_3,float64,0,0.0,1.0,12
ask_size_3,float64,0,0.0,1.0,12
bid_gap_12,float64,0,0.0,1.0,4
bid_gap_23,float64,9859,0.9859,0.0141,2
ask_gap_12,float64,0,0.0,1.0,4
ask_gap_23,float64,9833,0.9833,0.0167,2
bid_depth_L1,int64,0,0.0,1.0,12
ask_depth_L1,int64,0,0.0,1.0,12
total_depth_L1,int64,0,0.0,1.0,15
imbalance_L1,float64,0,0.0,1.0,69
bid_depth_L2,float64,0,0.0,1.0,28
ask_depth_L2,float64,0,0.0,1.0,28
total_depth_L2,float64,0,0.0,1.0,35
imbalance_L2,float64,0,0.0,1.0,169
bid_depth_L3,float64,0,0.0,1.0,24
ask_depth_L3,float64,0,0.0,1.0,24
total_depth_L3,float64,0,0.0,1.0,35
imbalance_L3,float64,0,0.0,1.0,140
microprice_L1,float64,0,0.0,1.0,556
micro_edge_L1,float64,0,0.0,1.0,122
bid_wap_L1,float64,0,0.0,1.0,161
ask_wap_L1,float64,0,0.0,1.0,161
book_wap_mid_L1,float64,0,0.0,1.0,307
book_wap_edge_L1,float64,0,0.0,1.0,1
bid_wap_L2,float64,0,0.0,1.0,6570
ask_wap_L2,float64,0,0.0,1.0,6558
book_wap_mid_L2,float64,0,0.0,1.0,6604
book_wap_edge_L2,float64,0,0.0,1.0,402
bid_wap_L3,float64,0,0.0,1.0,6591
ask_wap_L3,float64,0,0.0,1.0,6605
