timestamp,trade_count,total_qty,signed_qty,avg_trade_price,avg_trade_vs_mid,future_ret_1,future_ret_2,future_ret_3,future_ret_5,future_ret_10,future_ret_20,future_ret_50,future_ret_100,future_ret_200,future_ret_500,future_ret_1000
5100,1,4,4,9960.0,4.0,0.0,2.0,0.5,-4.0,-7.0,-7.0,-12.0,1.0,-3.0,-8.0,-6.0
6200,1,5,5,9955.0,8.0,-1.0,0.0,-6.5,-2.0,-1.0,-2.0,-6.0,9.0,-5.0,3.0,5.0
15000,1,4,4,9966.0,7.5,-1.5,-2.5,-1.5,-1.5,-0.5,-11.5,-7.5,-6.5,-6.5,-20.0,-13.5
22800,1,6,-6,9946.0,-8.0,0.0,-1.0,-1.0,-3.0,-1.0,-1.0,-14.0,2.0,0.0,11.0,-5.0
30800,1,2,-2,9940.0,-8.0,-2.0,-2.0,-3.0,-1.0,0.0,8.0,1.5,-3.0,27.0,37.0,6.0
31400,1,3,3,9953.0,8.0,0.0,0.0,2.0,0.5,5.0,10.0,4.0,-1.0,31.0,28.0,4.0
32000,1,5,-5,9938.0,-8.0,1.0,1.0,3.0,6.0,9.0,5.0,1.0,5.0,27.0,24.0,0.0
33600,1,6,-6,9948.0,-8.0,-1.0,-3.0,-2.0,-6.0,-6.0,-2.0,-13.0,6.5,10.0,19.0,2.0
37400,1,4,-4,9936.0,-8.0,2.0,4.0,2.0,7.0,1.0,-1.0,17.0,25.0,9.0,19.5,12.5
40900,1,5,5,9951.0,8.0,1.0,1.0,2.0,1.0,5.0,10.0,26.0,36.0,11.0,14.0,16.0
41300,1,5,5,9953.0,8.0,-1.0,0.0,-1.0,1.0,14.0,14.0,27.0,31.0,7.0,13.0,16.0
43900,1,6,-6,9952.0,-8.0,4.0,8.0,8.5,7.0,9.0,9.0,8.0,6.0,-20.0,8.0,-2.0
45200,1,2,-2,9961.0,-8.0,-5.0,2.0,2.0,3.0,2.0,4.0,13.0,-23.0,-32.0,-7.0,-17.0
48300,1,3,-3,9960.0,-7.5,-1.5,-1.5,1.5,-1.5,7.5,12.5,-0.5,-13.5,-10.5,-13.5,-4.5
52400,1,5,-5,9961.0,-8.0,2.0,1.0,2.0,0.0,-4.0,-15.0,-16.0,-29.0,-4.0,-17.0,-15.0
53000,1,4,-4,9961.0,-8.0,-0.5,-2.0,-2.0,-1.0,-9.0,-21.5,-15.0,-26.5,-2.0,-24.0,-16.0
59300,1,4,-4,9949.0,-8.0,0.0,-2.0,-1.0,-2.0,-4.0,-5.0,-16.0,0.5,31.0,11.0,10.0
61100,1,2,2,9961.0,8.0,-1.0,-1.0,1.0,0.0,-8.0,-11.0,-9.0,10.0,26.0,6.0,13.0
61400,1,2,2,9962.0,8.0,0.0,-1.0,-3.0,-6.0,-14.0,-17.0,-5.5,7.0,19.0,3.0,14.0
63200,1,5,5,9950.0,8.0,-2.0,-5.0,-6.0,-5.0,-2.0,-5.0,16.0,29.0,30.0,8.0,29.0
64300,1,4,-4,9933.0,-8.0,-0.5,-2.0,0.0,-4.0,-2.0,10.0,16.5,42.0,32.0,4.0,24.0
65400,1,4,-4,9930.0,-8.0,1.0,-3.5,7.5,4.5,10.5,18.0,19.0,45.0,29.0,8.0,30.0
65900,1,2,-2,9935.0,-7.5,-0.5,1.5,3.5,6.0,6.5,15.5,18.5,40.5,21.5,4.5,26.5
69500,1,2,-2,9952.0,-7.5,2.5,0.5,-1.5,-2.5,-4.5,5.5,20.5,23.5,8.5,-3.5,2.5
73500,1,3,-3,9966.0,-8.0,4.0,4.0,7.0,6.0,6.0,6.0,18.0,1.0,-5.0,-25.0,-3.0
76600,1,3,3,9995.0,8.0,3.0,5.0,6.0,4.0,6.0,3.0,-13.0,-23.0,-24.0,-38.0,13.0
78500,1,4,4,10000.0,8.0,-2.0,-2.0,-2.0,-2.5,-9.0,-11.0,-17.0,-32.0,-40.0,-30.0,2.0
79000,1,3,-3,9982.0,-7.5,1.5,-0.5,-1.5,-6.5,-5.5,-7.5,-18.5,-22.5,-36.5,-28.5,10.5
79800,1,6,6,9994.0,8.0,0.0,-2.0,-4.0,-6.0,-1.0,-16.0,-17.5,-21.0,-41.0,-27.0,12.0
81300,1,6,-6,9970.0,-8.0,-5.0,-4.0,-4.0,-8.0,-9.0,-3.0,-13.0,-20.0,-36.0,-29.0,30.0
81700,1,3,3,9980.0,8.0,-2.0,-2.0,-2.0,-3.0,8.5,1.0,-8.0,-14.0,-31.0,-21.0,44.0
81900,1,2,2,9978.0,8.0,0.0,3.0,-1.0,1.0,-1.0,2.0,-7.5,-11.0,-19.0,-21.5,45.0
82300,1,3,3,9977.0,8.0,2.0,4.0,7.0,2.0,6.0,4.0,-4.0,-5.0,-17.0,-13.0,49.0
92100,1,4,-4,9955.0,-8.0,2.0,1.0,2.0,3.0,2.0,7.0,-5.0,-11.0,-6.0,3.0,59.0
92500,1,2,-2,9956.0,-8.0,2.0,1.0,-2.0,-1.0,5.0,0.0,-5.0,-14.5,-7.0,-2.0,55.0
94400,1,4,4,9974.0,8.0,-2.0,-1.0,1.0,0.0,-2.5,-2.0,-15.0,-12.0,-18.0,-11.0,46.0
97100,1,2,-2,9950.0,-8.0,0.0,-2.0,-1.0,1.0,-7.0,-6.0,-6.0,2.0,1.0,0.0,49.0
98600,1,2,2,9962.0,8.0,0.0,-3.0,-2.0,-2.0,-6.0,-1.5,-3.0,10.0,0.0,10.0,57.0
99000,1,3,3,9961.0,8.0,-1.0,1.0,0.0,-1.5,-8.0,-9.0,0.0,11.0,-3.0,12.0,61.0
101400,1,5,-5,9936.0,-8.0,-1.0,-1.0,-3.0,7.0,8.0,4.0,14.0,13.0,9.5,9.0,76.5
101500,1,6,-6,9935.0,-8.0,0.0,-2.0,9.5,8.0,6.5,5.0,13.0,14.0,10.0,11.0,81.0
103100,1,4,4,9952.0,8.0,1.0,4.0,4.0,7.0,7.0,6.0,10.0,6.0,5.5,11.0,78.0
103500,1,3,-3,9940.0,-8.0,3.0,5.0,6.0,5.0,4.0,-2.5,15.0,-1.0,1.0,10.0,72.5
107100,1,5,-5,9952.0,-8.0,3.0,0.0,1.0,0.0,-6.0,5.0,-3.0,-1.0,-7.0,4.0,44.0
109100,1,2,-2,9957.0,-8.0,0.0,3.0,1.0,1.0,-5.0,-6.0,-21.0,-13.0,-6.0,-3.0,46.0
112700,1,2,-2,9948.0,-8.0,-4.0,-1.5,-1.0,-6.0,-7.0,-11.0,12.0,-9.0,8.0,14.0,43.0
